day,day_post_burnin,WSM_prevalence,WSM_hi_prevalence,MSW_prevalence,MSW_hi_prevalence,MSM_prevalence,MSM_hi_prevalence,MSMW_prevalence,MSMW_hi_prevalence,p_msmw_w,replicate
12000,0,0.0402105263157894,0.4411764705882353,0.0298947368421052,0.3670886075949367,0.1266666666666666,0.5121951219512195,0.11,0.6153846153846154,0.05,14
12100,100,0.0423157894736842,0.4485294117647059,0.0328421052631578,0.3924050632911392,0.13,0.5609756097560976,0.11,0.5384615384615384,0.05,14
12200,200,0.0421052631578947,0.4338235294117647,0.0317894736842105,0.379746835443038,0.12,0.4878048780487805,0.075,0.4230769230769231,0.05,14
12300,300,0.0448421052631578,0.5294117647058824,0.0334736842105263,0.4240506329113924,0.12,0.4878048780487805,0.105,0.5384615384615384,0.05,14
12400,400,0.0450526315789473,0.4558823529411764,0.0322105263157894,0.379746835443038,0.13,0.4878048780487805,0.07,0.3461538461538461,0.05,14
12500,500,0.0414736842105263,0.4191176470588235,0.0324210526315789,0.4113924050632911,0.1266666666666666,0.4878048780487805,0.09,0.3846153846153846,0.05,14
12600,600,0.0378947368421052,0.4264705882352941,0.0326315789473684,0.430379746835443,0.1166666666666666,0.5121951219512195,0.115,0.6153846153846154,0.05,14
12700,700,0.0463157894736842,0.5367647058823529,0.0362105263157894,0.3924050632911392,0.1333333333333333,0.5609756097560976,0.055,0.3461538461538461,0.05,14
12800,800,0.0461052631578947,0.5588235294117647,0.0336842105263157,0.4177215189873418,0.12,0.4634146341463415,0.105,0.5384615384615384,0.05,14
12900,900,0.044,0.5367647058823529,0.0357894736842105,0.3987341772151899,0.1166666666666666,0.6097560975609756,0.085,0.4615384615384615,0.05,14
13000,1000,0.0410526315789473,0.5,0.0322105263157894,0.360759493670886,0.12,0.6097560975609756,0.085,0.4615384615384615,0.05,14
13100,1100,0.0431578947368421,0.5441176470588235,0.0334736842105263,0.3924050632911392,0.1333333333333333,0.6341463414634146,0.1,0.5,0.05,14
13200,1200,0.04,0.4632352941176471,0.031578947368421,0.3860759493670886,0.1433333333333333,0.5609756097560976,0.12,0.6538461538461539,0.05,14
13300,1300,0.0397894736842105,0.3970588235294117,0.0307368421052631,0.3227848101265823,0.11,0.4634146341463415,0.065,0.2692307692307692,0.05,14
13400,1400,0.0421052631578947,0.4558823529411764,0.0311578947368421,0.3291139240506329,0.1333333333333333,0.5853658536585366,0.095,0.5,0.05,14
13500,1500,0.0414736842105263,0.5441176470588235,0.0305263157894736,0.3037974683544304,0.1366666666666666,0.6097560975609756,0.125,0.6153846153846154,0.05,14
13600,1600,0.0416842105263157,0.4852941176470588,0.0317894736842105,0.4113924050632911,0.13,0.5853658536585366,0.08,0.4615384615384615,0.05,14
13700,1700,0.0427368421052631,0.5073529411764706,0.0307368421052631,0.4240506329113924,0.1266666666666666,0.5365853658536586,0.075,0.3076923076923077,0.05,14
13800,1800,0.0418947368421052,0.5220588235294118,0.0305263157894736,0.3544303797468354,0.13,0.5609756097560976,0.115,0.5384615384615384,0.05,14
13900,1900,0.0418947368421052,0.4852941176470588,0.0317894736842105,0.4050632911392405,0.1133333333333333,0.5365853658536586,0.07,0.3846153846153846,0.05,14
14000,2000,0.0437894736842105,0.3970588235294117,0.0338947368421052,0.3734177215189873,0.11,0.4634146341463415,0.075,0.4615384615384615,0.05,14
14100,2100,0.0404210526315789,0.4558823529411764,0.027578947368421,0.310126582278481,0.14,0.5609756097560976,0.095,0.3846153846153846,0.05,14
14200,2200,0.0423157894736842,0.5441176470588235,0.0328421052631578,0.3860759493670886,0.13,0.5609756097560976,0.085,0.5384615384615384,0.05,14
14300,2300,0.0397894736842105,0.4926470588235294,0.0298947368421052,0.3481012658227848,0.15,0.5609756097560976,0.085,0.4615384615384615,0.05,14
14400,2400,0.0433684210526315,0.5,0.0313684210526315,0.3037974683544304,0.13,0.5609756097560976,0.095,0.4615384615384615,0.05,14
14500,2500,0.0431578947368421,0.4485294117647059,0.0303157894736842,0.3544303797468354,0.1233333333333333,0.4878048780487805,0.085,0.4230769230769231,0.05,14
14600,2600,0.0448421052631578,0.4926470588235294,0.0324210526315789,0.379746835443038,0.1166666666666666,0.4390243902439024,0.105,0.5,0.05,14
14700,2700,0.0467368421052631,0.5294117647058824,0.0364210526315789,0.4240506329113924,0.1366666666666666,0.6341463414634146,0.075,0.4230769230769231,0.05,14
14800,2800,0.0469473684210526,0.4852941176470588,0.0349473684210526,0.3924050632911392,0.15,0.6585365853658537,0.09,0.6153846153846154,0.05,14
