sim_id,p_msmw_w,measure_label,ground_truth,phylo_all_infections,difference,rel_diff_to_gt,rel_diff_to_est
0.05_014,0.05,MSMW with MSM,0.0035317086011362,0.0034220282097966,-1.0968039133960007e-4,-0.031055900621108534,-0.03205128205127196
0.05_014,0.05,MSMW with MSW,0.0354487024809704,0.0223747998332858,-0.013073902647684602,-0.3688118811881181,-0.5843137254901942
0.05_014,0.05,Product,0.00012519448745116133,7.656719621805626e-5,-4.862729123310506e-5,-0.3884139966791644,-0.6350930115635821
0.05_016,0.05,MSMW with MSM,0.0061522276095508,0.0055118470405269,-6.403805690239003e-4,-0.10408921933085911,-0.116182572614113
0.05_016,0.05,MSMW with MSW,0.0455127618699112,0.0282682279754825,-0.017244533894428697,-0.37889447236180973,-0.6100323624595487
0.05_016,0.05,Product,2.8000487016297855e-4,1.5581014870760294e-4,-1.241947214553756e-4,-0.44354486185575026,-0.797090064322077
0.05_027,0.05,MSMW with MSM,0.004578900608242,0.0064924710116864,0.0019135704034444001,0.4179104477611902,0.29473684210526124
0.05_027,0.05,MSMW with MSW,0.0472925256851265,0.0275645260496161,-0.0197279996355104,-0.4171483622350679,-0.7157024793388442
0.05_027,0.05,Product,2.1654777462492612e-4,1.7896188632800716e-4,-3.758588829691896e-5,-0.17356857331838205,-0.21002174858634604
0.05_034,0.05,MSMW with MSM,0.0051461780755068,0.0065879952087307,0.0014418171332239004,0.28017241379310587,0.21885521885522033
0.05_034,0.05,MSMW with MSW,0.0485116010824719,0.0295683421321148,-0.0189432589503571,-0.3904892546867853,-0.6406601650412597
0.05_034,0.05,Product,2.4964933789834885e-4,1.947960962964824e-4,-5.485324160186644e-5,-0.219721157939547,-0.2815931255541129
0.05_048,0.05,MSMW with MSM,0.0072376357056694,0.0069457955562473,-2.918401494220995e-4,-0.04032258064515387,-0.042016806722681016
0.05_048,0.05,MSMW with MSW,0.0406241487995641,0.0267714697069924,-0.0138526790925717,-0.3409961685823763,-0.5174418604651182
0.05_048,0.05,Product,2.940227898641518e-4,1.8594915532503704e-4,-1.0807363453911475e-4,-0.36756890372017875,-0.5811999218291863
0.05_052,0.05,MSMW with MSM,0.0046092184368737,0.0060342908038298,0.0014250723669560995,0.3091787439613482,0.23616236162361365
0.05_052,0.05,MSMW with MSW,0.039812959251837,0.0252727677577376,-0.014540191494099398,-0.3652125279642081,-0.5753303964757767
0.05_052,0.05,Product,1.8350662581006845e-4,1.5250323006784226e-4,-3.1003395742226195e-5,-0.16894973467778257,-0.2032966497065937
0.05_056,0.05,MSMW with MSM,0.006561198282002,0.0077482571817063,0.0011870588997043002,0.18092105263157757,0.15320334261838342
0.05_056,0.05,MSMW with MSW,0.0588133727580773,0.034057798976971,-0.0247555737811063,-0.4209174311926606,-0.7268694550063373
0.05_056,0.05,Product,3.8588620029904e-4,2.63888585516425e-4,-1.21997614782615e-4,-0.3161492032834389,-0.4623072822337804
0.05_072,0.05,MSMW with MSM,0.0045392455605758,0.0054008616160554,8.616160554796e-4,0.18981481481480034,0.15953307392995086
0.05_072,0.05,MSMW with MSW,0.0470106125880004,0.0287275401912367,-0.0182830723967637,-0.38891372373714844,-0.6364301389904914
0.05_072,0.05,Product,2.1339271449002963e-4,1.551534691425391e-4,-5.823924534749053e-5,-0.27292049537244933,-0.3753654086457215
0.05_077,0.05,MSMW with MSM,0.0045227326826945,0.0056177100690311,0.0010949773863366003,0.24210526315790296,0.19491525423729347
0.05_077,0.05,MSMW with MSW,0.0477029278743156,0.0276124732206617,-0.0200904546536539,-0.42115768463073905,-0.7275862068965533
0.05_077,0.05,Product,2.157475909573856e-4,1.5511886884256282e-4,-6.062872211482279e-5,-0.2810169135413343,-0.39085330216247016
0.05_088,0.05,MSMW with MSM,0.0037486104288927,0.0049636772575683,0.0012150668286755998,0.3241379310344921,0.244791666666672
0.05_088,0.05,MSMW with MSW,0.0410278948320881,0.0255939608593366,-0.015433933972751501,-0.37618147448015177,-0.6030303030303045
0.05_088,0.05,Product,1.5379759444307837e-4,1.270401614485823e-4,-2.675743299449608e-5,-0.17397822827716078,-0.2106218434343361
0.25_007,0.25,MSMW with MSM,0.0306758491887475,0.0329636979105871,0.0022878487218396006,0.07458143074581382,0.06940509915014122
0.25_007,0.25,MSMW with MSW,0.0702229485234037,0.0531574646900898,-0.017065483833313903,-0.24301861702127714,-0.32103645147123505
0.25_007,0.25,Product,0.002154148578493111,0.0017522666077368207,-4.018819707562902e-4,-0.18656186243077916,-0.22934978557592325
0.25_014,0.25,MSMW with MSM,0.0226496775489255,0.0242786691361881,0.001628991587262603,0.071921182266009,0.06709558823529338
0.25_014,0.25,MSMW with MSW,0.0488920625711289,0.038203199964296,-0.010688862606832904,-0.2186216339570986,-0.2797897196261705
0.25_014,0.25,Product,0.001107389451937959,9.275228518767756e-4,-1.7986660006118335e-4,-0.1624239780742108,-0.1939214755703714
0.25_016,0.25,MSMW with MSM,0.0243363917374024,0.0244099896962857,7.359795888330078e-5,0.003024193548388223,0.0030150753768855413
0.25_016,0.25,MSMW with MSW,0.0543152936558559,0.0426622834993376,-0.011653010156518297,-0.21454381210478737,-0.2731454859114428
0.25_016,0.25,Product,0.0013218382637409565,0.0010413859006388503,-2.8045236310210615e-4,-0.21216844056881304,-0.2693068563056782
0.25_030,0.25,MSMW with MSM,0.0256330168249208,0.0264034649341995,7.704481092787006e-4,0.030056864337936983,0.029179810725552376
0.25_030,0.25,MSMW with MSW,0.0616358487422955,0.0501415958687323,-0.011494252873563204,-0.1864864864864863,-0.22923588039867082
