p_msmw_w,replicate,batch,measure,value
0.05,109,3,MSM.MSMW,0.0055442384022512
0.05,111,3,MSM.MSMW,0.0069958847736625
0.05,113,1,MSM.MSMW,0.0044337550977726
0.05,113,2,MSM.MSMW,0.0051839227382474
0.05,113,4,MSM.MSMW,0.0044183578436681
0.05,115,1,MSM.MSMW,0.0048681726153916
0.05,116,2,MSM.MSMW,0.0060013956734124
0.05,117,2,MSM.MSMW,0.007057057057057
0.05,118,2,MSM.MSMW,0.0045614264824636
0.05,118,3,MSM.MSMW,0.0062222662931654
0.05,120,1,MSM.MSMW,0.0045908722657304
0.05,120,2,MSM.MSMW,0.0051232711966325
0.05,120,4,MSM.MSMW,0.0040208911518541
0.05,121,2,MSM.MSMW,0.002317643588555
0.05,122,3,MSM.MSMW,0.0086774833166321
0.05,122,4,MSM.MSMW,0.0048903612557185
0.05,123,4,MSM.MSMW,0.00727445619874
0.05,124,1,MSM.MSMW,0.0055181012190616
0.05,124,2,MSM.MSMW,0.0036424645135654
0.05,126,2,MSM.MSMW,0.002072985509626
0.05,126,4,MSM.MSMW,0.0044830604359242
0.05,127,2,MSM.MSMW,0.0071039868849472
0.05,129,1,MSM.MSMW,0.009259034830453
0.05,130,2,MSM.MSMW,0.0044277929155313
0.05,131,1,MSM.MSMW,0.005556640836969
0.05,131,4,MSM.MSMW,0.0049823683312478
0.05,132,3,MSM.MSMW,0.005491846905695
0.05,134,2,MSM.MSMW,0.0073011510049819
0.05,135,3,MSM.MSMW,0.005506111308888
0.05,137,2,MSM.MSMW,0.0091280869427687
0.05,139,1,MSM.MSMW,0.0083934167561526
0.05,142,2,MSM.MSMW,0.0045648270341604
0.05,143,4,MSM.MSMW,0.0040896853613925
0.05,144,1,MSM.MSMW,0.0056694866457013
0.05,144,3,MSM.MSMW,0.0066331566021712
0.05,145,1,MSM.MSMW,0.00316129636568
0.05,145,3,MSM.MSMW,0.0069275117927215
0.05,145,4,MSM.MSMW,0.0095176677266561
0.05,147,1,MSM.MSMW,0.0065904804171751
0.05,147,4,MSM.MSMW,0.0059701492537313
0.05,148,2,MSM.MSMW,0.0066080240291782
0.05,148,4,MSM.MSMW,0.0059168667838486
0.05,149,1,MSM.MSMW,0.0086587400477286
0.05,149,3,MSM.MSMW,0.0104695503057379
0.05,149,4,MSM.MSMW,0.0038491663869307
0.05,150,2,MSM.MSMW,0.009725346831646
0.05,151,2,MSM.MSMW,0.0066014562680936
0.05,151,4,MSM.MSMW,0.005569467230809
0.05,152,2,MSM.MSMW,0.0062811629864663
0.05,152,4,MSM.MSMW,0.0072108039842747
0.05,153,2,MSM.MSMW,0.0087877110434541
0.05,153,4,MSM.MSMW,0.0054188304357642
0.05,154,1,MSM.MSMW,0.0076260096566039
0.05,154,4,MSM.MSMW,0.0052212950763675
0.05,156,4,MSM.MSMW,0.0095364558184451
0.05,157,4,MSM.MSMW,0.0055768812920982
0.05,160,2,MSM.MSMW,0.0053983040726143
0.05,161,1,MSM.MSMW,0.0055132708821233
0.05,161,4,MSM.MSMW,0.0070202973551931
0.05,162,3,MSM.MSMW,0.0063081695966907
0.05,162,4,MSM.MSMW,0.0040678418209705
0.05,163,4,MSM.MSMW,0.0040982688733119
0.05,164,3,MSM.MSMW,0.0074401628412999
0.05,166,1,MSM.MSMW,0.0040606003039513
0.05,166,2,MSM.MSMW,0.0070206230802983
0.05,166,4,MSM.MSMW,0.0050201016783306
0.05,167,1,MSM.MSMW,0.006616821536918
0.05,171,2,MSM.MSMW,0.0051220846387189
0.05,172,1,MSM.MSMW,0.0099163159676873
0.05,172,4,MSM.MSMW,0.0045724737082761
0.05,173,2,MSM.MSMW,0.0067015558028842
0.05,173,3,MSM.MSMW,0.0100289519397799
0.05,174,2,MSM.MSMW,0.00440722785368
0.05,174,3,MSM.MSMW,0.0052133480496911
0.05,174,4,MSM.MSMW,0.0061327836730539
0.05,177,1,MSM.MSMW,0.0033830044301248
0.05,178,1,MSM.MSMW,0.0056803074617485
0.05,179,1,MSM.MSMW,0.0037863886703383
0.05,180,1,MSM.MSMW,0.0068353017762484
0.05,181,3,MSM.MSMW,0.0026040455707974
0.05,183,3,MSM.MSMW,0.0100149158320903
0.05,184,1,MSM.MSMW,0.0039070173523955
0.05,185,3,MSM.MSMW,0.0038099697756587
0.05,185,4,MSM.MSMW,0.0038472107721901
0.05,187,3,MSM.MSMW,0.0036071446340613
0.05,187,4,MSM.MSMW,0.0033769115731583
0.05,188,3,MSM.MSMW,0.0045788442703232
0.05,190,1,MSM.MSMW,0.0035245559523257
0.05,190,2,MSM.MSMW,0.0054937315114804
0.05,190,4,MSM.MSMW,0.0047598810029749
0.05,192,3,MSM.MSMW,0.004401942926533
0.05,193,1,MSM.MSMW,0.007145192172979
0.05,194,3,MSM.MSMW,0.0040625462855208
0.05,194,4,MSM.MSMW,0.0075397933538117
0.05,196,1,MSM.MSMW,0.0051007155170378
0.05,196,2,MSM.MSMW,0.0053938851760248
0.05,196,3,MSM.MSMW,0.005664998402726
0.05,197,2,MSM.MSMW,0.0094725732966099
0.05,197,3,MSM.MSMW,0.0057733412661686
0.05,199,2,MSM.MSMW,0.0058780633328177
0.05,200,1,MSM.MSMW,0.004476458825668
0.05,200,4,MSM.MSMW,0.0073433613644439
0.05,202,2,MSM.MSMW,0.0039490594695642
0.05,202,3,MSM.MSMW,0.0050340749887208
0.05,205,2,MSM.MSMW,0.0045849290684502
0.05,205,3,MSM.MSMW,0.0066262865470443
0.05,206,2,MSM.MSMW,0.0061303757779961
0.05,208,1,MSM.MSMW,0.0048197072474116
0.05,208,2,MSM.MSMW,0.0049321533923303
0.05,209,1,MSM.MSMW,0.0069299013821726
