measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,210,1064,0.05,1
MSM_group_to_WSM_group_triplet_proportion,142,771,0.05,1
WSM_group_to_MSM_group_proportion,86,1376,0.05,1
WSM_group_to_MSM_group_triplet_proportion,57,302,0.05,1
average_time_in_MSM_network,8269,91639,0.05,1
average_time_in_WSM_network,7682,92823,0.05,1
average_time_in_network_overall,15951,184462,0.05,1
total_between_network_proportion,296,2440,0.05,1
total_triplet_proportion,199,1073,0.05,1
MSM_group_to_WSM_group_proportion,130,833,0.05,6
MSM_group_to_WSM_group_triplet_proportion,43,659,0.05,6
WSM_group_to_MSM_group_proportion,93,897,0.05,6
WSM_group_to_MSM_group_triplet_proportion,40,23,0.05,6
average_time_in_MSM_network,2122,37624,0.05,6
average_time_in_WSM_network,3016,37982,0.05,6
average_time_in_network_overall,5138,75606,0.05,6
total_between_network_proportion,223,1730,0.05,6
total_triplet_proportion,83,682,0.05,6
MSM_group_to_WSM_group_proportion,289,1147,0.05,14
MSM_group_to_WSM_group_triplet_proportion,167,807,0.05,14
WSM_group_to_MSM_group_proportion,157,1343,0.05,14
WSM_group_to_MSM_group_triplet_proportion,47,219,0.05,14
average_time_in_MSM_network,6312,155411,0.05,14
average_time_in_WSM_network,1763,151502,0.05,14
average_time_in_network_overall,8075,306913,0.05,14
total_between_network_proportion,446,2490,0.05,14
total_triplet_proportion,214,1026,0.05,14
MSM_group_to_WSM_group_proportion,117,1037,0.05,16
MSM_group_to_WSM_group_triplet_proportion,66,704,0.05,16
WSM_group_to_MSM_group_proportion,57,1051,0.05,16
WSM_group_to_MSM_group_triplet_proportion,33,99,0.05,16
average_time_in_MSM_network,7199,106867,0.05,16
average_time_in_WSM_network,7124,106609,0.05,16
average_time_in_network_overall,14323,213476,0.05,16
total_between_network_proportion,174,2088,0.05,16
total_triplet_proportion,99,803,0.05,16
MSM_group_to_WSM_group_proportion,193,951,0.05,18
MSM_group_to_WSM_group_triplet_proportion,127,672,0.05,18
WSM_group_to_MSM_group_proportion,147,923,0.05,18
WSM_group_to_MSM_group_triplet_proportion,76,167,0.05,18
average_time_in_MSM_network,9206,104691,0.05,18
average_time_in_WSM_network,4003,99135,0.05,18
average_time_in_network_overall,13209,203826,0.05,18
total_between_network_proportion,340,1874,0.05,18
total_triplet_proportion,203,839,0.05,18
MSM_group_to_WSM_group_proportion,171,1161,0.05,20
MSM_group_to_WSM_group_triplet_proportion,130,871,0.05,20
WSM_group_to_MSM_group_proportion,113,1455,0.05,20
WSM_group_to_MSM_group_triplet_proportion,78,264,0.05,20
average_time_in_MSM_network,15008,161373,0.05,20
average_time_in_WSM_network,4298,150460,0.05,20
average_time_in_network_overall,19306,311833,0.05,20
total_between_network_proportion,284,2616,0.05,20
total_triplet_proportion,208,1135,0.05,20
MSM_group_to_WSM_group_proportion,106,1032,0.05,24
MSM_group_to_WSM_group_triplet_proportion,71,723,0.05,24
WSM_group_to_MSM_group_proportion,63,1153,0.05,24
WSM_group_to_MSM_group_triplet_proportion,52,543,0.05,24
average_time_in_MSM_network,11665,121261,0.05,24
average_time_in_WSM_network,9224,118890,0.05,24
average_time_in_network_overall,20889,240151,0.05,24
total_between_network_proportion,169,2185,0.05,24
total_triplet_proportion,123,1266,0.05,24
MSM_group_to_WSM_group_proportion,143,1129,0.05,26
MSM_group_to_WSM_group_triplet_proportion,68,760,0.05,26
WSM_group_to_MSM_group_proportion,71,1415,0.05,26
WSM_group_to_MSM_group_triplet_proportion,41,285,0.05,26
average_time_in_MSM_network,10872,117971,0.05,26
average_time_in_WSM_network,8320,115215,0.05,26
average_time_in_network_overall,19192,233186,0.05,26
total_between_network_proportion,214,2544,0.05,26
total_triplet_proportion,109,1045,0.05,26
MSM_group_to_WSM_group_proportion,107,853,0.05,32
MSM_group_to_WSM_group_triplet_proportion,76,601,0.05,32
WSM_group_to_MSM_group_proportion,54,1012,0.05,32
WSM_group_to_MSM_group_triplet_proportion,50,226,0.05,32
average_time_in_MSM_network,5150,68901,0.05,32
average_time_in_WSM_network,8032,70678,0.05,32
average_time_in_network_overall,13182,139579,0.05,32
total_between_network_proportion,161,1865,0.05,32
total_triplet_proportion,126,827,0.05,32
MSM_group_to_WSM_group_proportion,74,719,0.05,34
MSM_group_to_WSM_group_triplet_proportion,48,533,0.05,34
WSM_group_to_MSM_group_proportion,41,864,0.05,34
WSM_group_to_MSM_group_triplet_proportion,28,258,0.05,34
average_time_in_MSM_network,6521,78281,0.05,34
average_time_in_WSM_network,3221,74501,0.05,34
average_time_in_network_overall,9742,152782,0.05,34
total_between_network_proportion,115,1583,0.05,34
total_triplet_proportion,76,791,0.05,34
MSM_group_to_WSM_group_proportion,237,1177,0.05,39
MSM_group_to_WSM_group_triplet_proportion,120,806,0.05,39
WSM_group_to_MSM_group_proportion,103,1436,0.05,39
WSM_group_to_MSM_group_triplet_proportion,60,583,0.05,39
average_time_in_MSM_network,12628,124369,0.05,39
average_time_in_WSM_network,6224,118121,0.05,39
average_time_in_network_overall,18852,242490,0.05,39
total_between_network_proportion,340,2613,0.05,39
total_triplet_proportion,180,1389,0.05,39
MSM_group_to_WSM_group_proportion,53,687,0.05,42
MSM_group_to_WSM_group_triplet_proportion,38,480,0.05,42
WSM_group_to_MSM_group_proportion,63,749,0.05,42
WSM_group_to_MSM_group_triplet_proportion,61,95,0.05,42
average_time_in_MSM_network,15867,51485,0.05,42
average_time_in_WSM_network,6934,41890,0.05,42
average_time_in_network_overall,22801,93375,0.05,42
total_between_network_proportion,116,1436,0.05,42
total_triplet_proportion,99,575,0.05,42
MSM_group_to_WSM_group_proportion,86,760,0.05,44
MSM_group_to_WSM_group_triplet_proportion,53,626,0.05,44
WSM_group_to_MSM_group_proportion,58,786,0.05,44
WSM_group_to_MSM_group_triplet_proportion,50,66,0.05,44
average_time_in_MSM_network,3141,84734,0.05,44
average_time_in_WSM_network,1112,82482,0.05,44
average_time_in_network_overall,4253,167216,0.05,44
total_between_network_proportion,144,1546,0.05,44
total_triplet_proportion,103,692,0.05,44
MSM_group_to_WSM_group_proportion,156,968,0.05,45
MSM_group_to_WSM_group_triplet_proportion,83,743,0.05,45
WSM_group_to_MSM_group_proportion,89,999,0.05,45
WSM_group_to_MSM_group_triplet_proportion,77,115,0.05,45
average_time_in_MSM_network,11936,90361,0.05,45
average_time_in_WSM_network,5905,84745,0.05,45
average_time_in_network_overall,17841,175106,0.05,45
total_between_network_proportion,245,1967,0.05,45
total_triplet_proportion,160,858,0.05,45
MSM_group_to_WSM_group_proportion,282,1295,0.05,46
MSM_group_to_WSM_group_triplet_proportion,192,940,0.05,46
WSM_group_to_MSM_group_proportion,148,1472,0.05,46
WSM_group_to_MSM_group_triplet_proportion,107,250,0.05,46
average_time_in_MSM_network,51538,228536,0.05,46
average_time_in_WSM_network,38455,216960,0.05,46
average_time_in_network_overall,89993,445496,0.05,46
total_between_network_proportion,430,2767,0.05,46
total_triplet_proportion,299,1190,0.05,46
MSM_group_to_WSM_group_proportion,290,1200,0.05,50
MSM_group_to_WSM_group_triplet_proportion,194,831,0.05,50
WSM_group_to_MSM_group_proportion,179,1780,0.05,50
WSM_group_to_MSM_group_triplet_proportion,87,429,0.05,50
average_time_in_MSM_network,7115,137637,0.05,50
average_time_in_WSM_network,13053,142023,0.05,50
average_time_in_network_overall,20168,279660,0.05,50
total_between_network_proportion,469,2980,0.05,50
total_triplet_proportion,281,1260,0.05,50
MSM_group_to_WSM_group_proportion,202,1351,0.05,51
MSM_group_to_WSM_group_triplet_proportion,143,964,0.05,51
WSM_group_to_MSM_group_proportion,77,1450,0.05,51
WSM_group_to_MSM_group_triplet_proportion,44,206,0.05,51
average_time_in_MSM_network,10902,125520,0.05,51
average_time_in_WSM_network,9945,123989,0.05,51
average_time_in_network_overall,20847,249509,0.05,51
total_between_network_proportion,279,2801,0.05,51
total_triplet_proportion,187,1170,0.05,51
MSM_group_to_WSM_group_proportion,175,1117,0.05,57
MSM_group_to_WSM_group_triplet_proportion,87,946,0.05,57
WSM_group_to_MSM_group_proportion,114,1066,0.05,57
WSM_group_to_MSM_group_triplet_proportion,50,174,0.05,57
average_time_in_MSM_network,10315,93960,0.05,57
average_time_in_WSM_network,4497,87282,0.05,57
average_time_in_network_overall,14812,181242,0.05,57
total_between_network_proportion,289,2183,0.05,57
total_triplet_proportion,137,1120,0.05,57
MSM_group_to_WSM_group_proportion,213,1243,0.05,59
MSM_group_to_WSM_group_triplet_proportion,134,838,0.05,59
WSM_group_to_MSM_group_proportion,173,1396,0.05,59
WSM_group_to_MSM_group_triplet_proportion,103,525,0.05,59
average_time_in_MSM_network,9548,92494,0.05,59
average_time_in_WSM_network,8654,92284,0.05,59
average_time_in_network_overall,18202,184778,0.05,59
total_between_network_proportion,386,2639,0.05,59
total_triplet_proportion,237,1363,0.05,59
MSM_group_to_WSM_group_proportion,100,787,0.05,61
MSM_group_to_WSM_group_triplet_proportion,45,598,0.05,61
WSM_group_to_MSM_group_proportion,50,788,0.05,61
WSM_group_to_MSM_group_triplet_proportion,25,48,0.05,61
average_time_in_MSM_network,1685,69565,0.05,61
average_time_in_WSM_network,1118,68228,0.05,61
average_time_in_network_overall,2803,137793,0.05,61
total_between_network_proportion,150,1575,0.05,61
total_triplet_proportion,70,646,0.05,61
MSM_group_to_WSM_group_proportion,111,767,0.05,66
MSM_group_to_WSM_group_triplet_proportion,63,628,0.05,66
WSM_group_to_MSM_group_proportion,56,777,0.05,66
WSM_group_to_MSM_group_triplet_proportion,52,107,0.05,66
average_time_in_MSM_network,1359,64415,0.05,66
average_time_in_WSM_network,1827,64966,0.05,66
average_time_in_network_overall,3186,129381,0.05,66
total_between_network_proportion,167,1544,0.05,66
total_triplet_proportion,115,735,0.05,66
MSM_group_to_WSM_group_proportion,141,1026,0.05,67
MSM_group_to_WSM_group_triplet_proportion,113,626,0.05,67
WSM_group_to_MSM_group_proportion,95,1371,0.05,67
WSM_group_to_MSM_group_triplet_proportion,60,439,0.05,67
average_time_in_MSM_network,10234,112218,0.05,67
