measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,43133,43133,0.05,1
MSM_group_to_WSM_group_triplet_proportion,43133,43133,0.05,1
WSM_group_to_MSM_group_proportion,43133,43133,0.05,1
WSM_group_to_MSM_group_triplet_proportion,43133,43133,0.05,1
average_time_in_MSM_network,8269,91639,0.05,1
average_time_in_WSM_network,7682,92823,0.05,1
average_time_in_network_overall,15951,184462,0.05,1
total_between_network_proportion,43133,43133,0.05,1
total_triplet_proportion,43133,43133,0.05,1
MSM_group_to_WSM_group_proportion,50025,50025,0.05,6
MSM_group_to_WSM_group_triplet_proportion,50025,50025,0.05,6
WSM_group_to_MSM_group_proportion,50025,50025,0.05,6
WSM_group_to_MSM_group_triplet_proportion,50025,50025,0.05,6
average_time_in_MSM_network,2122,37624,0.05,6
average_time_in_WSM_network,3016,37982,0.05,6
average_time_in_network_overall,5138,75606,0.05,6
total_between_network_proportion,50025,50025,0.05,6
total_triplet_proportion,50025,50025,0.05,6
MSM_group_to_WSM_group_proportion,51156,51156,0.05,14
MSM_group_to_WSM_group_triplet_proportion,51156,51156,0.05,14
WSM_group_to_MSM_group_proportion,51156,51156,0.05,14
WSM_group_to_MSM_group_triplet_proportion,51156,51156,0.05,14
average_time_in_MSM_network,6312,155411,0.05,14
average_time_in_WSM_network,1763,151502,0.05,14
average_time_in_network_overall,8075,306913,0.05,14
total_between_network_proportion,51156,51156,0.05,14
total_triplet_proportion,51156,51156,0.05,14
MSM_group_to_WSM_group_proportion,39483,39483,0.05,16
MSM_group_to_WSM_group_triplet_proportion,39483,39483,0.05,16
WSM_group_to_MSM_group_proportion,39483,39483,0.05,16
WSM_group_to_MSM_group_triplet_proportion,39483,39483,0.05,16
average_time_in_MSM_network,7199,106867,0.05,16
average_time_in_WSM_network,7124,106609,0.05,16
average_time_in_network_overall,14323,213476,0.05,16
total_between_network_proportion,39483,39483,0.05,16
total_triplet_proportion,39483,39483,0.05,16
MSM_group_to_WSM_group_proportion,43343,43343,0.05,18
MSM_group_to_WSM_group_triplet_proportion,43343,43343,0.05,18
