sim_id,p_msmw_w,measure,method,value
0.05_034,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0272392529169069
0.05_034,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0055010869083004
0.05_034,0.05,average_time_in_MSM_network,MSMW+MSW,142.18728240162912
0.05_034,0.05,average_time_in_WSM_network,MSMW+MSW,117.0580060298187
0.05_034,0.05,average_time_in_network_overall,MSMW+MSW,129.25449811360858
0.05_034,0.05,total_between_network_proportion,MSMW+MSW,0.0485116010824719
0.05_034,0.05,total_triplet_proportion,MSMW+MSW,0.0204294396876802
0.05_048,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0042997782014864
0.05_048,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0036188178528347
0.05_048,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.002937857504183
0.05_048,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0011284485777656
0.05_048,0.05,average_time_in_MSM_network,MSM+MSMW,600.6215142219744
0.05_048,0.05,average_time_in_WSM_network,MSM+MSMW,389.2793522267207
0.05_048,0.05,average_time_in_network_overall,MSM+MSMW,548.5214582129537
0.05_048,0.05,total_between_network_proportion,MSM+MSMW,0.0072376357056694
0.05_048,0.05,total_triplet_proportion,MSM+MSMW,0.0047472664306004
0.05_048,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0200007782403984
0.05_048,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.016965640686408
0.05_048,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0206233705591657
0.05_048,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0033658897233355
0.05_048,0.05,average_time_in_MSM_network,MSMW+MSW,152.43043228520077
0.05_048,0.05,average_time_in_WSM_network,MSMW+MSW,24.427734434912423
0.05_048,0.05,average_time_in_network_overall,MSMW+MSW,91.58315713751053
0.05_048,0.05,total_between_network_proportion,MSMW+MSW,0.0406241487995641
0.05_048,0.05,total_triplet_proportion,MSMW+MSW,0.0203315304097435
0.05_052,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0022712090848363
0.05_052,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0015364061456245
0.05_052,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0023380093520374
0.05_052,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.002004008016032
0.05_052,0.05,average_time_in_MSM_network,MSM+MSMW,736.6455549099361
0.05_052,0.05,average_time_in_WSM_network,MSM+MSMW,1006.1249270286048
0.05_052,0.05,average_time_in_network_overall,MSM+MSMW,898.0316979373033
0.05_052,0.05,total_between_network_proportion,MSM+MSMW,0.0046092184368737
0.05_052,0.05,total_triplet_proportion,MSM+MSMW,0.0035404141616566
0.05_052,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0185704742818971
0.05_052,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0124693832108661
0.05_052,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0212424849699398
0.05_052,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0009574704965486
0.05_052,0.05,average_time_in_MSM_network,MSMW+MSW,99.37485413405436
0.05_052,0.05,average_time_in_WSM_network,MSMW+MSW,83.11493151457077
0.05_052,0.05,average_time_in_network_overall,MSMW+MSW,91.20494356882904
0.05_052,0.05,total_between_network_proportion,MSMW+MSW,0.039812959251837
0.05_052,0.05,total_triplet_proportion,MSMW+MSW,0.0134268537074148
0.05_056,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0042734120389355
0.05_056,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0027626098029482
0.05_056,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0022877862430664
0.05_056,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0018129626831847
0.05_056,0.05,average_time_in_MSM_network,MSM+MSMW,928.3033467837644
0.05_056,0.05,average_time_in_WSM_network,MSM+MSMW,102.84285508706289
0.05_056,0.05,average_time_in_network_overall,MSM+MSMW,555.2220487804879
0.05_056,0.05,total_between_network_proportion,MSM+MSMW,0.006561198282002
0.05_056,0.05,total_triplet_proportion,MSM+MSMW,0.0045755724861329
0.05_056,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0257915524572119
0.05_056,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0183670386117885
0.05_056,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0330218203008654
0.05_056,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0065827811710875
0.05_056,0.05,average_time_in_MSM_network,MSMW+MSW,86.56092129632967
0.05_056,0.05,average_time_in_WSM_network,MSMW+MSW,37.357599900774105
0.05_056,0.05,average_time_in_network_overall,MSMW+MSW,62.11089035682433
0.05_056,0.05,total_between_network_proportion,MSMW+MSW,0.0588133727580773
0.05_056,0.05,total_triplet_proportion,MSMW+MSW,0.0249498197828761
0.05_072,0.05,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0028160134496164
0.05_072,0.05,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0021645476515708
0.05_072,0.05,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0017232321109593
0.05_072,0.05,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0011558264158873
