measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,46285,46285,0.05,36
MSM_group_to_WSM_group_triplet_proportion,46285,46285,0.05,36
WSM_group_to_MSM_group_proportion,46285,46285,0.05,36
WSM_group_to_MSM_group_triplet_proportion,46285,46285,0.05,36
average_time_in_MSM_network,15743,116957,0.05,36
average_time_in_WSM_network,9772,111104,0.05,36
average_time_in_network_overall,25515,228061,0.05,36
total_between_network_proportion,46285,46285,0.05,36
total_triplet_proportion,46285,46285,0.05,36
MSM_group_to_WSM_group_proportion,42337,42337,0.05,46
MSM_group_to_WSM_group_triplet_proportion,42337,42337,0.05,46
WSM_group_to_MSM_group_proportion,42337,42337,0.05,46
WSM_group_to_MSM_group_triplet_proportion,42337,42337,0.05,46
average_time_in_MSM_network,3017,84409,0.05,46
average_time_in_WSM_network,2373,83356,0.05,46
average_time_in_network_overall,5390,167765,0.05,46
total_between_network_proportion,42337,42337,0.05,46
total_triplet_proportion,42337,42337,0.05,46
MSM_group_to_WSM_group_proportion,44181,44181,0.05,52
MSM_group_to_WSM_group_triplet_proportion,44181,44181,0.05,52
WSM_group_to_MSM_group_proportion,44181,44181,0.05,52
WSM_group_to_MSM_group_triplet_proportion,44181,44181,0.05,52
average_time_in_MSM_network,3777,44758,0.05,52
average_time_in_WSM_network,3472,44203,0.05,52
average_time_in_network_overall,7249,88961,0.05,52
total_between_network_proportion,44181,44181,0.05,52
total_triplet_proportion,44181,44181,0.05,52
MSM_group_to_WSM_group_proportion,43127,43127,0.05,56
MSM_group_to_WSM_group_triplet_proportion,43127,43127,0.05,56
WSM_group_to_MSM_group_proportion,43127,43127,0.05,56
WSM_group_to_MSM_group_triplet_proportion,43127,43127,0.05,56
average_time_in_MSM_network,14016,86642,0.05,56
average_time_in_WSM_network,13435,85299,0.05,56
average_time_in_network_overall,27451,171941,0.05,56
total_between_network_proportion,43127,43127,0.05,56
total_triplet_proportion,43127,43127,0.05,56
MSM_group_to_WSM_group_proportion,40101,40101,0.05,58
MSM_group_to_WSM_group_triplet_proportion,40101,40101,0.05,58
WSM_group_to_MSM_group_proportion,40101,40101,0.05,58
WSM_group_to_MSM_group_triplet_proportion,40101,40101,0.05,58
average_time_in_MSM_network,7912,111143,0.05,58
average_time_in_WSM_network,4184,107033,0.05,58
average_time_in_network_overall,12096,218176,0.05,58
total_between_network_proportion,40101,40101,0.05,58
total_triplet_proportion,40101,40101,0.05,58
MSM_group_to_WSM_group_proportion,44560,44560,0.05,59
MSM_group_to_WSM_group_triplet_proportion,44560,44560,0.05,59
WSM_group_to_MSM_group_proportion,44560,44560,0.05,59
WSM_group_to_MSM_group_triplet_proportion,44560,44560,0.05,59
average_time_in_MSM_network,1868,52793,0.05,59
average_time_in_WSM_network,1427,51833,0.05,59
average_time_in_network_overall,3295,104626,0.05,59
total_between_network_proportion,44560,44560,0.05,59
total_triplet_proportion,44560,44560,0.05,59
MSM_group_to_WSM_group_proportion,37652,37652,0.05,60
MSM_group_to_WSM_group_triplet_proportion,37652,37652,0.05,60
WSM_group_to_MSM_group_proportion,37652,37652,0.05,60
WSM_group_to_MSM_group_triplet_proportion,37652,37652,0.05,60
average_time_in_MSM_network,10211,74591,0.05,60
average_time_in_WSM_network,10546,74342,0.05,60
average_time_in_network_overall,20757,148933,0.05,60
total_between_network_proportion,37652,37652,0.05,60
total_triplet_proportion,37652,37652,0.05,60
MSM_group_to_WSM_group_proportion,43418,43418,0.05,61
MSM_group_to_WSM_group_triplet_proportion,43418,43418,0.05,61
WSM_group_to_MSM_group_proportion,43418,43418,0.05,61
WSM_group_to_MSM_group_triplet_proportion,43418,43418,0.05,61
average_time_in_MSM_network,8989,59734,0.05,61
average_time_in_WSM_network,6966,59865,0.05,61
average_time_in_network_overall,15955,119599,0.05,61
total_between_network_proportion,43418,43418,0.05,61
total_triplet_proportion,43418,43418,0.05,61
MSM_group_to_WSM_group_proportion,42140,42140,0.05,71
MSM_group_to_WSM_group_triplet_proportion,42140,42140,0.05,71
WSM_group_to_MSM_group_proportion,42140,42140,0.05,71
WSM_group_to_MSM_group_triplet_proportion,42140,42140,0.05,71
average_time_in_MSM_network,5524,73025,0.05,71
average_time_in_WSM_network,5693,75866,0.05,71
average_time_in_network_overall,11217,148891,0.05,71
total_between_network_proportion,42140,42140,0.05,71
total_triplet_proportion,42140,42140,0.05,71
MSM_group_to_WSM_group_proportion,44428,44428,0.05,80
MSM_group_to_WSM_group_triplet_proportion,44428,44428,0.05,80
WSM_group_to_MSM_group_proportion,44428,44428,0.05,80
WSM_group_to_MSM_group_triplet_proportion,44428,44428,0.05,80
average_time_in_MSM_network,4679,74734,0.05,80
average_time_in_WSM_network,4186,73429,0.05,80
average_time_in_network_overall,8865,148163,0.05,80
total_between_network_proportion,44428,44428,0.05,80
total_triplet_proportion,44428,44428,0.05,80
MSM_group_to_WSM_group_proportion,42329,42329,0.05,82
MSM_group_to_WSM_group_triplet_proportion,42329,42329,0.05,82
WSM_group_to_MSM_group_proportion,42329,42329,0.05,82
WSM_group_to_MSM_group_triplet_proportion,42329,42329,0.05,82
average_time_in_MSM_network,1923,59519,0.05,82
average_time_in_WSM_network,4567,61176,0.05,82
average_time_in_network_overall,6490,120695,0.05,82
total_between_network_proportion,42329,42329,0.05,82
total_triplet_proportion,42329,42329,0.05,82
MSM_group_to_WSM_group_proportion,42966,42966,0.05,84
MSM_group_to_WSM_group_triplet_proportion,42966,42966,0.05,84
WSM_group_to_MSM_group_proportion,42966,42966,0.05,84
WSM_group_to_MSM_group_triplet_proportion,42966,42966,0.05,84
average_time_in_MSM_network,1823,45106,0.05,84
average_time_in_WSM_network,1112,43517,0.05,84
average_time_in_network_overall,2935,88623,0.05,84
total_between_network_proportion,42966,42966,0.05,84
total_triplet_proportion,42966,42966,0.05,84
MSM_group_to_WSM_group_proportion,47327,47327,0.05,85
MSM_group_to_WSM_group_triplet_proportion,47327,47327,0.05,85
WSM_group_to_MSM_group_proportion,47327,47327,0.05,85
WSM_group_to_MSM_group_triplet_proportion,47327,47327,0.05,85
average_time_in_MSM_network,15830,80563,0.05,85
average_time_in_WSM_network,16235,80462,0.05,85
average_time_in_network_overall,32065,161025,0.05,85
total_between_network_proportion,47327,47327,0.05,85
total_triplet_proportion,47327,47327,0.05,85
MSM_group_to_WSM_group_proportion,42924,42924,0.05,86
MSM_group_to_WSM_group_triplet_proportion,42924,42924,0.05,86
WSM_group_to_MSM_group_proportion,42924,42924,0.05,86
WSM_group_to_MSM_group_triplet_proportion,42924,42924,0.05,86
average_time_in_MSM_network,4427,88393,0.05,86
average_time_in_WSM_network,9674,92490,0.05,86
average_time_in_network_overall,14101,180883,0.05,86
total_between_network_proportion,42924,42924,0.05,86
total_triplet_proportion,42924,42924,0.05,86
MSM_group_to_WSM_group_proportion,45908,45908,0.05,90
