measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,151,872,0.05,1
MSM_group_to_WSM_group_triplet_proportion,92,656,0.05,1
WSM_group_to_MSM_group_proportion,87,1070,0.05,1
WSM_group_to_MSM_group_triplet_proportion,45,123,0.05,1
average_time_in_MSM_network,5950,71716,0.05,1
average_time_in_WSM_network,5613,70368,0.05,1
average_time_in_network_overall,11563,142084,0.05,1
total_between_network_proportion,238,1942,0.05,1
total_triplet_proportion,137,779,0.05,1
MSM_group_to_WSM_group_proportion,139,1106,0.05,2
MSM_group_to_WSM_group_triplet_proportion,113,766,0.05,2
WSM_group_to_MSM_group_proportion,93,1136,0.05,2
WSM_group_to_MSM_group_triplet_proportion,68,315,0.05,2
average_time_in_MSM_network,11405,106421,0.05,2
average_time_in_WSM_network,5577,100917,0.05,2
average_time_in_network_overall,16982,207338,0.05,2
total_between_network_proportion,232,2242,0.05,2
total_triplet_proportion,181,1081,0.05,2
MSM_group_to_WSM_group_proportion,80,723,0.05,4
MSM_group_to_WSM_group_triplet_proportion,56,555,0.05,4
WSM_group_to_MSM_group_proportion,52,703,0.05,4
WSM_group_to_MSM_group_triplet_proportion,35,58,0.05,4
average_time_in_MSM_network,3652,55683,0.05,4
average_time_in_WSM_network,3668,55082,0.05,4
average_time_in_network_overall,7320,110765,0.05,4
total_between_network_proportion,132,1426,0.05,4
total_triplet_proportion,91,613,0.05,4
MSM_group_to_WSM_group_proportion,131,760,0.05,5
MSM_group_to_WSM_group_triplet_proportion,103,631,0.05,5
WSM_group_to_MSM_group_proportion,133,763,0.05,5
WSM_group_to_MSM_group_triplet_proportion,90,64,0.05,5
average_time_in_MSM_network,2120,31960,0.05,5
average_time_in_WSM_network,4832,33717,0.05,5
average_time_in_network_overall,6952,65677,0.05,5
total_between_network_proportion,264,1523,0.05,5
total_triplet_proportion,193,695,0.05,5
MSM_group_to_WSM_group_proportion,148,795,0.05,6
MSM_group_to_WSM_group_triplet_proportion,122,543,0.05,6
WSM_group_to_MSM_group_proportion,116,944,0.05,6
WSM_group_to_MSM_group_triplet_proportion,53,217,0.05,6
average_time_in_MSM_network,16641,68337,0.05,6
average_time_in_WSM_network,9160,60415,0.05,6
average_time_in_network_overall,25801,128752,0.05,6
total_between_network_proportion,264,1739,0.05,6
total_triplet_proportion,175,760,0.05,6
MSM_group_to_WSM_group_proportion,153,1146,0.05,12
MSM_group_to_WSM_group_triplet_proportion,122,619,0.05,12
WSM_group_to_MSM_group_proportion,103,1281,0.05,12
WSM_group_to_MSM_group_triplet_proportion,86,148,0.05,12
average_time_in_MSM_network,4526,82865,0.05,12
average_time_in_WSM_network,2321,79979,0.05,12
average_time_in_network_overall,6847,162844,0.05,12
total_between_network_proportion,256,2427,0.05,12
total_triplet_proportion,208,767,0.05,12
MSM_group_to_WSM_group_proportion,135,856,0.05,13
MSM_group_to_WSM_group_triplet_proportion,75,648,0.05,13
WSM_group_to_MSM_group_proportion,100,1155,0.05,13
WSM_group_to_MSM_group_triplet_proportion,56,128,0.05,13
average_time_in_MSM_network,21502,155041,0.05,13
average_time_in_WSM_network,10793,150417,0.05,13
average_time_in_network_overall,32295,305458,0.05,13
total_between_network_proportion,235,2011,0.05,13
total_triplet_proportion,131,776,0.05,13
MSM_group_to_WSM_group_proportion,297,1156,0.05,17
MSM_group_to_WSM_group_triplet_proportion,153,862,0.05,17
WSM_group_to_MSM_group_proportion,169,1453,0.05,17
WSM_group_to_MSM_group_triplet_proportion,72,186,0.05,17
average_time_in_MSM_network,14531,110390,0.05,17
average_time_in_WSM_network,15417,110046,0.05,17
average_time_in_network_overall,29948,220436,0.05,17
total_between_network_proportion,466,2609,0.05,17
total_triplet_proportion,225,1048,0.05,17
MSM_group_to_WSM_group_proportion,103,840,0.05,19
MSM_group_to_WSM_group_triplet_proportion,69,458,0.05,19
WSM_group_to_MSM_group_proportion,60,909,0.05,19
WSM_group_to_MSM_group_triplet_proportion,42,279,0.05,19
average_time_in_MSM_network,1459,61300,0.05,19
average_time_in_WSM_network,1473,60621,0.05,19
average_time_in_network_overall,2932,121921,0.05,19
total_between_network_proportion,163,1749,0.05,19
total_triplet_proportion,111,737,0.05,19
MSM_group_to_WSM_group_proportion,137,1019,0.05,20
MSM_group_to_WSM_group_triplet_proportion,104,706,0.05,20
WSM_group_to_MSM_group_proportion,95,1210,0.05,20
WSM_group_to_MSM_group_triplet_proportion,45,64,0.05,20
average_time_in_MSM_network,1542,70068,0.05,20
average_time_in_WSM_network,5105,72757,0.05,20
average_time_in_network_overall,6647,142825,0.05,20
total_between_network_proportion,232,2229,0.05,20
total_triplet_proportion,149,770,0.05,20
MSM_group_to_WSM_group_proportion,224,1060,0.05,28
MSM_group_to_WSM_group_triplet_proportion,111,658,0.05,28
WSM_group_to_MSM_group_proportion,106,1134,0.05,28
WSM_group_to_MSM_group_triplet_proportion,58,256,0.05,28
average_time_in_MSM_network,26297,135714,0.05,28
