day,day_post_burnin,WSM_prevalence,WSM_hi_prevalence,MSW_prevalence,MSW_hi_prevalence,MSM_prevalence,MSM_hi_prevalence,MSMW_prevalence,MSMW_hi_prevalence,p_msmw_w,replicate
12000,0,0.0397894736842105,0.4961832061068702,0.0311578947368421,0.4076433121019108,0.06,0.3421052631578947,0.115,0.5714285714285714,0.05,1
12100,100,0.0376842105263157,0.465648854961832,0.0288421052631578,0.3439490445859872,0.1033333333333333,0.5,0.08,0.3928571428571428,0.05,1
12200,200,0.0406315789473684,0.5114503816793893,0.0326315789473684,0.4203821656050955,0.1,0.5,0.1,0.5357142857142857,0.05,1
12300,300,0.0383157894736842,0.4351145038167939,0.0296842105263157,0.3057324840764331,0.0866666666666666,0.3947368421052631,0.08,0.4642857142857143,0.05,1
12400,400,0.0442105263157894,0.5114503816793893,0.0324210526315789,0.3630573248407643,0.0933333333333333,0.4736842105263157,0.09,0.4642857142857143,0.05,1
12500,500,0.0418947368421052,0.5190839694656488,0.0307368421052631,0.3503184713375796,0.1,0.5526315789473685,0.115,0.6785714285714286,0.05,1
12600,600,0.0364210526315789,0.4885496183206106,0.0288421052631578,0.3439490445859872,0.06,0.2631578947368421,0.1,0.5357142857142857,0.05,1
12700,700,0.0410526315789473,0.4809160305343511,0.0282105263157894,0.3821656050955414,0.0833333333333333,0.4473684210526316,0.08,0.5,0.05,1
12800,800,0.0378947368421052,0.465648854961832,0.0265263157894736,0.3503184713375796,0.0833333333333333,0.4210526315789473,0.095,0.4642857142857143,0.05,1
12900,900,0.0389473684210526,0.3740458015267175,0.0305263157894736,0.4076433121019108,0.0933333333333333,0.4736842105263157,0.1,0.5,0.05,1
13000,1000,0.043578947368421,0.5114503816793893,0.0341052631578947,0.4140127388535032,0.0733333333333333,0.3421052631578947,0.105,0.5,0.05,1
13100,1100,0.0427368421052631,0.4503816793893129,0.0307368421052631,0.3248407643312102,0.1066666666666666,0.5,0.105,0.5,0.05,1
13200,1200,0.0345263157894736,0.3969465648854962,0.0254736842105263,0.2929936305732484,0.07,0.2631578947368421,0.095,0.4642857142857143,0.05,1
13300,1300,0.0372631578947368,0.3893129770992366,0.0263157894736842,0.2547770700636942,0.0633333333333333,0.3157894736842105,0.11,0.4642857142857143,0.05,1
13400,1400,0.035578947368421,0.5267175572519084,0.0267368421052631,0.3566878980891719,0.09,0.4210526315789473,0.13,0.5714285714285714,0.05,1
13500,1500,0.0391578947368421,0.5572519083969466,0.0311578947368421,0.3566878980891719,0.0666666666666666,0.3421052631578947,0.07,0.2857142857142857,0.05,1
13600,1600,0.0383157894736842,0.4809160305343511,0.027578947368421,0.3503184713375796,0.06,0.3157894736842105,0.095,0.5,0.05,1
13700,1700,0.036,0.4351145038167939,0.028,0.3503184713375796,0.0766666666666666,0.4210526315789473,0.045,0.2857142857142857,0.05,1
13800,1800,0.039578947368421,0.4427480916030534,0.0313684210526315,0.3630573248407643,0.1033333333333333,0.4473684210526316,0.075,0.2857142857142857,0.05,1
13900,1900,0.0418947368421052,0.5114503816793893,0.0311578947368421,0.3439490445859872,0.12,0.5526315789473685,0.11,0.5357142857142857,0.05,1
14000,2000,0.0393684210526315,0.4427480916030534,0.032,0.3630573248407643,0.08,0.3421052631578947,0.115,0.5357142857142857,0.05,1
14100,2100,0.0418947368421052,0.4732824427480916,0.0347368421052631,0.3694267515923566,0.0866666666666666,0.4473684210526316,0.115,0.5357142857142857,0.05,1
14200,2200,0.0387368421052631,0.4580152671755725,0.0305263157894736,0.3184713375796178,0.0866666666666666,0.3947368421052631,0.105,0.6071428571428571,0.05,1
14300,2300,0.0345263157894736,0.4045801526717557,0.0294736842105263,0.3503184713375796,0.0766666666666666,0.4736842105263157,0.075,0.3214285714285714,0.05,1
14400,2400,0.0410526315789473,0.4961832061068702,0.0292631578947368,0.3312101910828025,0.07,0.3421052631578947,0.07,0.3928571428571428,0.05,1
14500,2500,0.0402105263157894,0.4732824427480916,0.0326315789473684,0.3375796178343949,0.0833333333333333,0.4210526315789473,0.05,0.25,0.05,1
14600,2600,0.0404210526315789,0.5114503816793893,0.0305263157894736,0.3248407643312102,0.07,0.3157894736842105,0.04,0.1428571428571428,0.05,1
