day,day_post_burnin,WSM_prevalence,WSM_hi_prevalence,MSW_prevalence,MSW_hi_prevalence,MSM_prevalence,MSM_hi_prevalence,MSMW_prevalence,MSMW_hi_prevalence,p_msmw_w,replicate
12000,0,0.0402105263157894,0.4411764705882353,0.0298947368421052,0.3670886075949367,0.1266666666666666,0.5121951219512195,0.11,0.6153846153846154,0.05,13
12100,100,0.0423157894736842,0.4485294117647059,0.0328421052631578,0.3924050632911392,0.13,0.5609756097560976,0.11,0.5384615384615384,0.05,13
12200,200,0.0421052631578947,0.4338235294117647,0.0317894736842105,0.379746835443038,0.12,0.4878048780487805,0.075,0.4230769230769231,0.05,13
12300,300,0.0448421052631578,0.5294117647058824,0.0334736842105263,0.4240506329113924,0.12,0.4878048780487805,0.105,0.5384615384615384,0.05,13
12400,400,0.0450526315789473,0.4558823529411764,0.0322105263157894,0.379746835443038,0.13,0.4878048780487805,0.07,0.3461538461538461,0.05,13
12500,500,0.0414736842105263,0.4191176470588235,0.0324210526315789,0.4113924050632911,0.1266666666666666,0.4878048780487805,0.09,0.3846153846153846,0.05,13
12600,600,0.0378947368421052,0.4264705882352941,0.0326315789473684,0.430379746835443,0.1166666666666666,0.5121951219512195,0.115,0.6153846153846154,0.05,13
12700,700,0.0463157894736842,0.5367647058823529,0.0362105263157894,0.3924050632911392,0.1333333333333333,0.5609756097560976,0.055,0.3461538461538461,0.05,13
12800,800,0.0461052631578947,0.5588235294117647,0.0336842105263157,0.4177215189873418,0.12,0.4634146341463415,0.105,0.5384615384615384,0.05,13
12900,900,0.044,0.5367647058823529,0.0357894736842105,0.3987341772151899,0.1166666666666666,0.6097560975609756,0.085,0.4615384615384615,0.05,13
13000,1000,0.0410526315789473,0.5,0.0322105263157894,0.360759493670886,0.12,0.6097560975609756,0.085,0.4615384615384615,0.05,13
13100,1100,0.0431578947368421,0.5441176470588235,0.0334736842105263,0.3924050632911392,0.1333333333333333,0.6341463414634146,0.1,0.5,0.05,13
13200,1200,0.04,0.4632352941176471,0.031578947368421,0.3860759493670886,0.1433333333333333,0.5609756097560976,0.12,0.6538461538461539,0.05,13
13300,1300,0.0397894736842105,0.3970588235294117,0.0307368421052631,0.3227848101265823,0.11,0.4634146341463415,0.065,0.2692307692307692,0.05,13
13400,1400,0.0421052631578947,0.4558823529411764,0.0311578947368421,0.3291139240506329,0.1333333333333333,0.5853658536585366,0.095,0.5,0.05,13
13500,1500,0.0414736842105263,0.5441176470588235,0.0305263157894736,0.3037974683544304,0.1366666666666666,0.6097560975609756,0.125,0.6153846153846154,0.05,13
13600,1600,0.0416842105263157,0.4852941176470588,0.0317894736842105,0.4113924050632911,0.13,0.5853658536585366,0.08,0.4615384615384615,0.05,13
13700,1700,0.0427368421052631,0.5073529411764706,0.0307368421052631,0.4240506329113924,0.1266666666666666,0.5365853658536586,0.075,0.3076923076923077,0.05,13
13800,1800,0.0418947368421052,0.5220588235294118,0.0305263157894736,0.3544303797468354,0.13,0.5609756097560976,0.115,0.5384615384615384,0.05,13
13900,1900,0.0418947368421052,0.4852941176470588,0.0317894736842105,0.4050632911392405,0.1133333333333333,0.5365853658536586,0.07,0.3846153846153846,0.05,13
14000,2000,0.0437894736842105,0.3970588235294117,0.0338947368421052,0.3734177215189873,0.11,0.4634146341463415,0.075,0.4615384615384615,0.05,13
14100,2100,0.0404210526315789,0.4558823529411764,0.027578947368421,0.310126582278481,0.14,0.5609756097560976,0.095,0.3846153846153846,0.05,13
14200,2200,0.0423157894736842,0.5441176470588235,0.0328421052631578,0.3860759493670886,0.13,0.5609756097560976,0.085,0.5384615384615384,0.05,13
14300,2300,0.0397894736842105,0.4926470588235294,0.0298947368421052,0.3481012658227848,0.15,0.5609756097560976,0.085,0.4615384615384615,0.05,13
14400,2400,0.0433684210526315,0.5,0.0313684210526315,0.3037974683544304,0.13,0.5609756097560976,0.095,0.4615384615384615,0.05,13
14500,2500,0.0431578947368421,0.4485294117647059,0.0303157894736842,0.3544303797468354,0.1233333333333333,0.4878048780487805,0.085,0.4230769230769231,0.05,13
14600,2600,0.0448421052631578,0.4926470588235294,0.0324210526315789,0.379746835443038,0.1166666666666666,0.4390243902439024,0.105,0.5,0.05,13
14700,2700,0.0467368421052631,0.5294117647058824,0.0364210526315789,0.4240506329113924,0.1366666666666666,0.6341463414634146,0.075,0.4230769230769231,0.05,13
14800,2800,0.0469473684210526,0.4852941176470588,0.0349473684210526,0.3924050632911392,0.15,0.6585365853658537,0.09,0.6153846153846154,0.05,13
14900,2900,0.0486315789473684,0.5,0.0303157894736842,0.360759493670886,0.1166666666666666,0.5121951219512195,0.055,0.3076923076923077,0.05,13
15000,3000,0.0463157894736842,0.5220588235294118,0.0402105263157894,0.4050632911392405,0.1466666666666666,0.5853658536585366,0.075,0.3846153846153846,0.05,13
15100,3100,0.0517894736842105,0.5294117647058824,0.0364210526315789,0.3924050632911392,0.1333333333333333,0.5365853658536586,0.1,0.4615384615384615,0.05,13
15200,3200,0.0421052631578947,0.5,0.0328421052631578,0.379746835443038,0.1266666666666666,0.5121951219512195,0.065,0.3846153846153846,0.05,13
15300,3300,0.0442105263157894,0.4852941176470588,0.031578947368421,0.3924050632911392,0.1,0.6341463414634146,0.045,0.3076923076923077,0.05,13
15400,3400,0.0482105263157894,0.5220588235294118,0.0347368421052631,0.3924050632911392,0.1066666666666666,0.5121951219512195,0.06,0.3461538461538461,0.05,13
15500,3500,0.0416842105263157,0.4852941176470588,0.0309473684210526,0.360759493670886,0.1266666666666666,0.7073170731707317,0.075,0.4230769230769231,0.05,13
15600,3600,0.0389473684210526,0.4852941176470588,0.0311578947368421,0.3734177215189873,0.1433333333333333,0.6585365853658537,0.075,0.3461538461538461,0.05,13
12000,0,0.0452631578947368,0.5611510791366906,0.035578947368421,0.4580152671755725,0.0866666666666666,0.4318181818181818,0.09,0.4827586206896552,0.05,15
12100,100,0.0402105263157894,0.460431654676259,0.0341052631578947,0.4045801526717557,0.09,0.4090909090909091,0.095,0.4827586206896552,0.05,15
12200,200,0.039578947368421,0.4820143884892086,0.0334736842105263,0.3740458015267175,0.0933333333333333,0.4318181818181818,0.09,0.4137931034482758,0.05,15
12300,300,0.0378947368421052,0.4532374100719424,0.0305263157894736,0.4122137404580153,0.0966666666666666,0.4545454545454545,0.1,0.5172413793103449,0.05,15
12400,400,0.0429473684210526,0.5179856115107914,0.031578947368421,0.3740458015267175,0.1,0.4772727272727273,0.09,0.5172413793103449,0.05,15
12500,500,0.0490526315789473,0.539568345323741,0.0366315789473684,0.4122137404580153,0.1133333333333333,0.4090909090909091,0.1,0.4137931034482758,0.05,15
12600,600,0.0442105263157894,0.5611510791366906,0.0345263157894736,0.4122137404580153,0.1133333333333333,0.4545454545454545,0.075,0.3448275862068966,0.05,15
12700,700,0.0437894736842105,0.5179856115107914,0.0330526315789473,0.4351145038167939,0.1133333333333333,0.4772727272727273,0.1,0.4827586206896552,0.05,15
12800,800,0.043578947368421,0.5107913669064749,0.0334736842105263,0.3740458015267175,0.1066666666666666,0.3863636363636363,0.095,0.4137931034482758,0.05,15
12900,900,0.0456842105263157,0.5467625899280576,0.036,0.366412213740458,0.1,0.3863636363636363,0.11,0.4827586206896552,0.05,15
13000,1000,0.0454736842105263,0.5251798561151079,0.0357894736842105,0.4351145038167939,0.1166666666666666,0.4318181818181818,0.1,0.4137931034482758,0.05,15
13100,1100,0.0461052631578947,0.5539568345323741,0.0345263157894736,0.4122137404580153,0.11,0.4090909090909091,0.105,0.4827586206896552,0.05,15
13200,1200,0.0431578947368421,0.5251798561151079,0.0341052631578947,0.4351145038167939,0.11,0.5,0.13,0.6896551724137931,0.05,15
13300,1300,0.0452631578947368,0.5107913669064749,0.0317894736842105,0.3969465648854962,0.13,0.5681818181818182,0.13,0.5862068965517241,0.05,15
13400,1400,0.0362105263157894,0.381294964028777,0.0301052631578947,0.3587786259541984,0.12,0.4772727272727273,0.105,0.5172413793103449,0.05,15
13500,1500,0.0412631578947368,0.539568345323741,0.0303157894736842,0.4274809160305343,0.1133333333333333,0.4090909090909091,0.11,0.4482758620689655,0.05,15
13600,1600,0.0416842105263157,0.5467625899280576,0.0332631578947368,0.3740458015267175,0.1166666666666666,0.4318181818181818,0.12,0.5862068965517241,0.05,15
13700,1700,0.0330526315789473,0.4316546762589928,0.0305263157894736,0.3893129770992366,0.11,0.5454545454545454,0.095,0.4482758620689655,0.05,15
13800,1800,0.0385263157894736,0.5323741007194245,0.0305263157894736,0.4274809160305343,0.13,0.5,0.115,0.5517241379310345,0.05,15
