measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,45587,45587,0.05,13
MSM_group_to_WSM_group_triplet_proportion,45587,45587,0.05,13
WSM_group_to_MSM_group_proportion,45587,45587,0.05,13
WSM_group_to_MSM_group_triplet_proportion,45587,45587,0.05,13
average_time_in_MSM_network,9666,58478,0.05,13
average_time_in_WSM_network,8891,56832,0.05,13
average_time_in_network_overall,18557,115310,0.05,13
total_between_network_proportion,45587,45587,0.05,13
total_triplet_proportion,45587,45587,0.05,13
MSM_group_to_WSM_group_proportion,43724,43724,0.05,15
MSM_group_to_WSM_group_triplet_proportion,43724,43724,0.05,15
WSM_group_to_MSM_group_proportion,43724,43724,0.05,15
WSM_group_to_MSM_group_triplet_proportion,43724,43724,0.05,15
average_time_in_MSM_network,2651,74110,0.05,15
average_time_in_WSM_network,2358,73315,0.05,15
average_time_in_network_overall,5009,147425,0.05,15
total_between_network_proportion,43724,43724,0.05,15
total_triplet_proportion,43724,43724,0.05,15
MSM_group_to_WSM_group_proportion,42445,42445,0.05,17
MSM_group_to_WSM_group_triplet_proportion,42445,42445,0.05,17
WSM_group_to_MSM_group_proportion,42445,42445,0.05,17
WSM_group_to_MSM_group_triplet_proportion,42445,42445,0.05,17
average_time_in_MSM_network,21572,153905,0.05,17
average_time_in_WSM_network,3040,134952,0.05,17
average_time_in_network_overall,24612,288857,0.05,17
total_between_network_proportion,42445,42445,0.05,17
total_triplet_proportion,42445,42445,0.05,17
MSM_group_to_WSM_group_proportion,42554,42554,0.05,21
MSM_group_to_WSM_group_triplet_proportion,42554,42554,0.05,21
WSM_group_to_MSM_group_proportion,42554,42554,0.05,21
WSM_group_to_MSM_group_triplet_proportion,42554,42554,0.05,21
average_time_in_MSM_network,9849,79311,0.05,21
average_time_in_WSM_network,4963,73756,0.05,21
average_time_in_network_overall,14812,153067,0.05,21
total_between_network_proportion,42554,42554,0.05,21
total_triplet_proportion,42554,42554,0.05,21
MSM_group_to_WSM_group_proportion,47909,47909,0.05,24
MSM_group_to_WSM_group_triplet_proportion,47909,47909,0.05,24
WSM_group_to_MSM_group_proportion,47909,47909,0.05,24
WSM_group_to_MSM_group_triplet_proportion,47909,47909,0.05,24
average_time_in_MSM_network,3164,72785,0.05,24
average_time_in_WSM_network,3210,72158,0.05,24
average_time_in_network_overall,6374,144943,0.05,24
total_between_network_proportion,47909,47909,0.05,24
total_triplet_proportion,47909,47909,0.05,24
MSM_group_to_WSM_group_proportion,43897,43897,0.05,26
MSM_group_to_WSM_group_triplet_proportion,43897,43897,0.05,26
WSM_group_to_MSM_group_proportion,43897,43897,0.05,26
WSM_group_to_MSM_group_triplet_proportion,43897,43897,0.05,26
average_time_in_MSM_network,12070,92062,0.05,26
average_time_in_WSM_network,7254,86198,0.05,26
average_time_in_network_overall,19324,178260,0.05,26
total_between_network_proportion,43897,43897,0.05,26
total_triplet_proportion,43897,43897,0.05,26
MSM_group_to_WSM_group_proportion,45965,45965,0.05,29
MSM_group_to_WSM_group_triplet_proportion,45965,45965,0.05,29
WSM_group_to_MSM_group_proportion,45965,45965,0.05,29
WSM_group_to_MSM_group_triplet_proportion,45965,45965,0.05,29
average_time_in_MSM_network,15611,99999,0.05,29
average_time_in_WSM_network,1618,85123,0.05,29
average_time_in_network_overall,17229,185122,0.05,29
total_between_network_proportion,45965,45965,0.05,29
total_triplet_proportion,45965,45965,0.05,29
MSM_group_to_WSM_group_proportion,48085,48085,0.05,31
MSM_group_to_WSM_group_triplet_proportion,48085,48085,0.05,31
WSM_group_to_MSM_group_proportion,48085,48085,0.05,31
WSM_group_to_MSM_group_triplet_proportion,48085,48085,0.05,31
average_time_in_MSM_network,11071,77928,0.05,31
average_time_in_WSM_network,13034,79445,0.05,31
average_time_in_network_overall,24105,157373,0.05,31
total_between_network_proportion,48085,48085,0.05,31
total_triplet_proportion,48085,48085,0.05,31
MSM_group_to_WSM_group_proportion,45082,45082,0.05,33
MSM_group_to_WSM_group_triplet_proportion,45082,45082,0.05,33
WSM_group_to_MSM_group_proportion,45082,45082,0.05,33
WSM_group_to_MSM_group_triplet_proportion,45082,45082,0.05,33
average_time_in_MSM_network,2200,45669,0.05,33
average_time_in_WSM_network,6103,48426,0.05,33
average_time_in_network_overall,8303,94095,0.05,33
total_between_network_proportion,45082,45082,0.05,33
total_triplet_proportion,45082,45082,0.05,33
MSM_group_to_WSM_group_proportion,51398,51398,0.05,47
MSM_group_to_WSM_group_triplet_proportion,51398,51398,0.05,47
WSM_group_to_MSM_group_proportion,51398,51398,0.05,47
WSM_group_to_MSM_group_triplet_proportion,51398,51398,0.05,47
average_time_in_MSM_network,14344,107938,0.05,47
average_time_in_WSM_network,4693,97799,0.05,47
average_time_in_network_overall,19037,205737,0.05,47
total_between_network_proportion,51398,51398,0.05,47
total_triplet_proportion,51398,51398,0.05,47
MSM_group_to_WSM_group_proportion,46248,46248,0.05,49
MSM_group_to_WSM_group_triplet_proportion,46248,46248,0.05,49
WSM_group_to_MSM_group_proportion,46248,46248,0.05,49
WSM_group_to_MSM_group_triplet_proportion,46248,46248,0.05,49
average_time_in_MSM_network,6620,169377,0.05,49
average_time_in_WSM_network,4813,166905,0.05,49
average_time_in_network_overall,11433,336282,0.05,49
total_between_network_proportion,46248,46248,0.05,49
total_triplet_proportion,46248,46248,0.05,49
MSM_group_to_WSM_group_proportion,44910,44910,0.05,51
MSM_group_to_WSM_group_triplet_proportion,44910,44910,0.05,51
WSM_group_to_MSM_group_proportion,44910,44910,0.05,51
WSM_group_to_MSM_group_triplet_proportion,44910,44910,0.05,51
average_time_in_MSM_network,3442,70270,0.05,51
average_time_in_WSM_network,5139,70964,0.05,51
average_time_in_network_overall,8581,141234,0.05,51
total_between_network_proportion,44910,44910,0.05,51
total_triplet_proportion,44910,44910,0.05,51
