measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,101,799,0.05,13
MSM_group_to_WSM_group_triplet_proportion,47,558,0.05,13
WSM_group_to_MSM_group_proportion,60,817,0.05,13
WSM_group_to_MSM_group_triplet_proportion,34,158,0.05,13
average_time_in_MSM_network,9666,58478,0.05,13
average_time_in_WSM_network,8891,56832,0.05,13
average_time_in_network_overall,18557,115310,0.05,13
total_between_network_proportion,161,1616,0.05,13
total_triplet_proportion,81,716,0.05,13
MSM_group_to_WSM_group_proportion,163,941,0.05,15
MSM_group_to_WSM_group_triplet_proportion,103,625,0.05,15
WSM_group_to_MSM_group_proportion,106,1049,0.05,15
WSM_group_to_MSM_group_triplet_proportion,69,265,0.05,15
average_time_in_MSM_network,2651,74110,0.05,15
average_time_in_WSM_network,2358,73315,0.05,15
average_time_in_network_overall,5009,147425,0.05,15
total_between_network_proportion,269,1990,0.05,15
total_triplet_proportion,172,890,0.05,15
MSM_group_to_WSM_group_proportion,196,1082,0.05,17
MSM_group_to_WSM_group_triplet_proportion,135,748,0.05,17
WSM_group_to_MSM_group_proportion,95,1169,0.05,17
WSM_group_to_MSM_group_triplet_proportion,42,227,0.05,17
average_time_in_MSM_network,21572,153905,0.05,17
average_time_in_WSM_network,3040,134952,0.05,17
average_time_in_network_overall,24612,288857,0.05,17
total_between_network_proportion,291,2251,0.05,17
total_triplet_proportion,177,975,0.05,17
MSM_group_to_WSM_group_proportion,127,962,0.05,21
MSM_group_to_WSM_group_triplet_proportion,72,613,0.05,21
WSM_group_to_MSM_group_proportion,81,1156,0.05,21
WSM_group_to_MSM_group_triplet_proportion,51,222,0.05,21
average_time_in_MSM_network,9849,79311,0.05,21
average_time_in_WSM_network,4963,73756,0.05,21
average_time_in_network_overall,14812,153067,0.05,21
total_between_network_proportion,208,2118,0.05,21
total_triplet_proportion,123,835,0.05,21
MSM_group_to_WSM_group_proportion,153,904,0.05,24
MSM_group_to_WSM_group_triplet_proportion,79,683,0.05,24
WSM_group_to_MSM_group_proportion,108,1126,0.05,24
WSM_group_to_MSM_group_triplet_proportion,63,81,0.05,24
average_time_in_MSM_network,3164,72785,0.05,24
average_time_in_WSM_network,3210,72158,0.05,24
average_time_in_network_overall,6374,144943,0.05,24
total_between_network_proportion,261,2030,0.05,24
total_triplet_proportion,142,764,0.05,24
MSM_group_to_WSM_group_proportion,118,945,0.05,26
MSM_group_to_WSM_group_triplet_proportion,87,648,0.05,26
WSM_group_to_MSM_group_proportion,83,1131,0.05,26
WSM_group_to_MSM_group_triplet_proportion,40,146,0.05,26
average_time_in_MSM_network,12070,92062,0.05,26
average_time_in_WSM_network,7254,86198,0.05,26
average_time_in_network_overall,19324,178260,0.05,26
total_between_network_proportion,201,2076,0.05,26
total_triplet_proportion,127,794,0.05,26
