measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,0.0050099746100834,0.0307626042800145,0.05,2
MSM_group_to_WSM_group_triplet_proportion,0.002062930721799,0.0185890460645629,0.05,2
WSM_group_to_MSM_group_proportion,0.002607000362713,0.0353871962277838,0.05,2
WSM_group_to_MSM_group_triplet_proportion,0.0016095393543706,0.0079796880667392,0.05,2
average_time_in_MSM_network,694.8150317572336,113.10180635582736,0.05,2
average_time_in_WSM_network,619.5463175623947,97.24676157033372,0.05,2
average_time_in_network_overall,658.711919800235,105.25843213432468,0.05,2
total_between_network_proportion,0.0076169749727965,0.0661498005077983,0.05,2
total_triplet_proportion,0.0036724700761697,0.0265687341313021,0.05,2
MSM_group_to_WSM_group_proportion,0.0019161294185744,0.0176842777589269,0.05,3
MSM_group_to_WSM_group_triplet_proportion,0.0014570567453743,0.0115167361928903,0.05,3
WSM_group_to_MSM_group_proportion,0.0009979840721742,0.0189616973713099,0.05,3
WSM_group_to_MSM_group_triplet_proportion,0.0009181453464002,0.0025947585876529,0.05,3
average_time_in_MSM_network,1182.272920604915,130.6383439143582,0.05,3
average_time_in_WSM_network,999.86420053541,80.42220876061904,0.05,3
average_time_in_network_overall,1092.413499580386,105.61077405256196,0.05,3
total_between_network_proportion,0.0029141134907486,0.0366459751302369,0.05,3
total_triplet_proportion,0.0023752020917746,0.0141114947805433,0.05,3
MSM_group_to_WSM_group_proportion,0.0045836829073645,0.0242280382246413,0.05,8
MSM_group_to_WSM_group_triplet_proportion,0.0029671161677136,0.0201559270703308,0.05,8
WSM_group_to_MSM_group_proportion,0.002516933025026,0.028320612249074,0.05,8
WSM_group_to_MSM_group_triplet_proportion,0.0013710122981849,0.0070801530622685,0.05,8
average_time_in_MSM_network,261.863156572003,94.6512197487754,0.05,8
average_time_in_WSM_network,934.8578346592874,65.9461969983972,0.05,8
average_time_in_network_overall,612.8271901870002,80.30915720248495,0.05,8
total_between_network_proportion,0.0071006159323906,0.0525486504737154,0.05,8
total_triplet_proportion,0.0043381284658986,0.0272360801325994,0.05,8
MSM_group_to_WSM_group_proportion,0.0023632229009675,0.0183261247603335,0.05,10
MSM_group_to_WSM_group_triplet_proportion,0.0015383243411958,0.0135105007357203,0.05,10
WSM_group_to_MSM_group_proportion,0.0016275025638739,0.0198867436571989,0.05,10
WSM_group_to_MSM_group_triplet_proportion,0.0012039060061532,0.0059080572524189,0.05,10
average_time_in_MSM_network,705.8535304006724,150.0177031166017,0.05,10
average_time_in_WSM_network,225.65515753129048,34.06461730898616,0.05,10
average_time_in_network_overall,638.7999758934491,95.08184430277454,0.05,10
total_between_network_proportion,0.0039907254648414,0.0382128684175324,0.05,10
total_triplet_proportion,0.0027422303473491,0.0194185579881392,0.05,10
MSM_group_to_WSM_group_proportion,0.003843676186386,0.0197766802662658,0.05,17
MSM_group_to_WSM_group_triplet_proportion,0.0023405625939445,0.0137427528451793,0.05,17
WSM_group_to_MSM_group_proportion,0.0028344427743182,0.0215159974232338,0.05,17
WSM_group_to_MSM_group_triplet_proportion,0.0010092334120678,0.006270130985613,0.05,17
