measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,44112,44112,0.05,2
MSM_group_to_WSM_group_triplet_proportion,44112,44112,0.05,2
WSM_group_to_MSM_group_proportion,44112,44112,0.05,2
WSM_group_to_MSM_group_triplet_proportion,44112,44112,0.05,2
average_time_in_MSM_network,14170,113156,0.05,2
average_time_in_WSM_network,13062,110779,0.05,2
average_time_in_network_overall,27232,223935,0.05,2
total_between_network_proportion,44112,44112,0.05,2
total_triplet_proportion,44112,44112,0.05,2
MSM_group_to_WSM_group_proportion,50101,50101,0.05,3
MSM_group_to_WSM_group_triplet_proportion,50101,50101,0.05,3
WSM_group_to_MSM_group_proportion,50101,50101,0.05,3
WSM_group_to_MSM_group_triplet_proportion,50101,50101,0.05,3
average_time_in_MSM_network,4232,69779,0.05,3
average_time_in_WSM_network,4109,69333,0.05,3
average_time_in_network_overall,8341,139112,0.05,3
total_between_network_proportion,50101,50101,0.05,3
total_triplet_proportion,50101,50101,0.05,3
MSM_group_to_WSM_group_proportion,48869,48869,0.05,8
MSM_group_to_WSM_group_triplet_proportion,48869,48869,0.05,8
WSM_group_to_MSM_group_proportion,48869,48869,0.05,8
WSM_group_to_MSM_group_triplet_proportion,48869,48869,0.05,8
average_time_in_MSM_network,7958,82476,0.05,8
average_time_in_WSM_network,8673,82356,0.05,8
average_time_in_network_overall,16631,164832,0.05,8
total_between_network_proportion,48869,48869,0.05,8
total_triplet_proportion,48869,48869,0.05,8
MSM_group_to_WSM_group_proportion,44854,44854,0.05,10
MSM_group_to_WSM_group_triplet_proportion,44854,44854,0.05,10
WSM_group_to_MSM_group_proportion,44854,44854,0.05,10
WSM_group_to_MSM_group_triplet_proportion,44854,44854,0.05,10
average_time_in_MSM_network,14276,117211,0.05,10
average_time_in_WSM_network,2317,105529,0.05,10
average_time_in_network_overall,16593,222740,0.05,10
total_between_network_proportion,44854,44854,0.05,10
total_triplet_proportion,44854,44854,0.05,10
MSM_group_to_WSM_group_proportion,46570,46570,0.05,17
MSM_group_to_WSM_group_triplet_proportion,46570,46570,0.05,17
WSM_group_to_MSM_group_proportion,46570,46570,0.05,17
WSM_group_to_MSM_group_triplet_proportion,46570,46570,0.05,17
average_time_in_MSM_network,2405,55605,0.05,17
average_time_in_WSM_network,6929,59048,0.05,17
average_time_in_network_overall,9334,114653,0.05,17
total_between_network_proportion,46570,46570,0.05,17
total_triplet_proportion,46570,46570,0.05,17
MSM_group_to_WSM_group_proportion,43299,43299,0.05,18
MSM_group_to_WSM_group_triplet_proportion,43299,43299,0.05,18
WSM_group_to_MSM_group_proportion,43299,43299,0.05,18
WSM_group_to_MSM_group_triplet_proportion,43299,43299,0.05,18
average_time_in_MSM_network,6942,53132,0.05,18
average_time_in_WSM_network,8910,54190,0.05,18
average_time_in_network_overall,15852,107322,0.05,18
total_between_network_proportion,43299,43299,0.05,18
total_triplet_proportion,43299,43299,0.05,18
MSM_group_to_WSM_group_proportion,43142,43142,0.05,19
MSM_group_to_WSM_group_triplet_proportion,43142,43142,0.05,19
WSM_group_to_MSM_group_proportion,43142,43142,0.05,19
WSM_group_to_MSM_group_triplet_proportion,43142,43142,0.05,19
average_time_in_MSM_network,8256,105477,0.05,19
average_time_in_WSM_network,7390,107996,0.05,19
average_time_in_network_overall,15646,213473,0.05,19
total_between_network_proportion,43142,43142,0.05,19
total_triplet_proportion,43142,43142,0.05,19
MSM_group_to_WSM_group_proportion,42448,42448,0.05,21
MSM_group_to_WSM_group_triplet_proportion,42448,42448,0.05,21
WSM_group_to_MSM_group_proportion,42448,42448,0.05,21
WSM_group_to_MSM_group_triplet_proportion,42448,42448,0.05,21
average_time_in_MSM_network,33268,132851,0.05,21
average_time_in_WSM_network,21600,121641,0.05,21
average_time_in_network_overall,54868,254492,0.05,21
total_between_network_proportion,42448,42448,0.05,21
total_triplet_proportion,42448,42448,0.05,21
MSM_group_to_WSM_group_proportion,43823,43823,0.05,22
MSM_group_to_WSM_group_triplet_proportion,43823,43823,0.05,22
WSM_group_to_MSM_group_proportion,43823,43823,0.05,22
WSM_group_to_MSM_group_triplet_proportion,43823,43823,0.05,22
average_time_in_MSM_network,30134,181288,0.05,22
average_time_in_WSM_network,23584,175146,0.05,22
average_time_in_network_overall,53718,356434,0.05,22
total_between_network_proportion,43823,43823,0.05,22
total_triplet_proportion,43823,43823,0.05,22
MSM_group_to_WSM_group_proportion,51266,51266,0.05,24
MSM_group_to_WSM_group_triplet_proportion,51266,51266,0.05,24
WSM_group_to_MSM_group_proportion,51266,51266,0.05,24
WSM_group_to_MSM_group_triplet_proportion,51266,51266,0.05,24
average_time_in_MSM_network,6137,48034,0.05,24
average_time_in_WSM_network,3986,47601,0.05,24
average_time_in_network_overall,10123,95635,0.05,24
total_between_network_proportion,51266,51266,0.05,24
total_triplet_proportion,51266,51266,0.05,24
MSM_group_to_WSM_group_proportion,41944,41944,0.05,32
MSM_group_to_WSM_group_triplet_proportion,41944,41944,0.05,32
WSM_group_to_MSM_group_proportion,41944,41944,0.05,32
WSM_group_to_MSM_group_triplet_proportion,41944,41944,0.05,32
average_time_in_MSM_network,3965,149988,0.05,32
average_time_in_WSM_network,432,145816,0.05,32
average_time_in_network_overall,4397,295804,0.05,32
total_between_network_proportion,41944,41944,0.05,32
total_triplet_proportion,41944,41944,0.05,32
MSM_group_to_WSM_group_proportion,45191,45191,0.05,35
MSM_group_to_WSM_group_triplet_proportion,45191,45191,0.05,35
WSM_group_to_MSM_group_proportion,45191,45191,0.05,35
WSM_group_to_MSM_group_triplet_proportion,45191,45191,0.05,35
average_time_in_MSM_network,11198,69341,0.05,35
average_time_in_WSM_network,6164,63581,0.05,35
average_time_in_network_overall,17362,132922,0.05,35
total_between_network_proportion,45191,45191,0.05,35
total_triplet_proportion,45191,45191,0.05,35
MSM_group_to_WSM_group_proportion,43285,43285,0.05,38
MSM_group_to_WSM_group_triplet_proportion,43285,43285,0.05,38
WSM_group_to_MSM_group_proportion,43285,43285,0.05,38
WSM_group_to_MSM_group_triplet_proportion,43285,43285,0.05,38
average_time_in_MSM_network,3210,61246,0.05,38
average_time_in_WSM_network,4586,61602,0.05,38
average_time_in_network_overall,7796,122848,0.05,38
total_between_network_proportion,43285,43285,0.05,38
total_triplet_proportion,43285,43285,0.05,38
MSM_group_to_WSM_group_proportion,41880,41880,0.05,43
MSM_group_to_WSM_group_triplet_proportion,41880,41880,0.05,43
WSM_group_to_MSM_group_proportion,41880,41880,0.05,43
WSM_group_to_MSM_group_triplet_proportion,41880,41880,0.05,43
average_time_in_MSM_network,5310,82522,0.05,43
average_time_in_WSM_network,5199,83269,0.05,43
average_time_in_network_overall,10509,165791,0.05,43
total_between_network_proportion,41880,41880,0.05,43
total_triplet_proportion,41880,41880,0.05,43
MSM_group_to_WSM_group_proportion,43977,43977,0.05,51
MSM_group_to_WSM_group_triplet_proportion,43977,43977,0.05,51
WSM_group_to_MSM_group_proportion,43977,43977,0.05,51
WSM_group_to_MSM_group_triplet_proportion,43977,43977,0.05,51
average_time_in_MSM_network,22576,125842,0.05,51
average_time_in_WSM_network,15700,118398,0.05,51
average_time_in_network_overall,38276,244240,0.05,51
total_between_network_proportion,43977,43977,0.05,51
total_triplet_proportion,43977,43977,0.05,51
MSM_group_to_WSM_group_proportion,40969,40969,0.05,52
MSM_group_to_WSM_group_triplet_proportion,40969,40969,0.05,52
WSM_group_to_MSM_group_proportion,40969,40969,0.05,52
WSM_group_to_MSM_group_triplet_proportion,40969,40969,0.05,52
average_time_in_MSM_network,11320,94901,0.05,52
average_time_in_WSM_network,4289,86873,0.05,52
average_time_in_network_overall,15609,181774,0.05,52
total_between_network_proportion,40969,40969,0.05,52
total_triplet_proportion,40969,40969,0.05,52
MSM_group_to_WSM_group_proportion,38931,38931,0.05,55
MSM_group_to_WSM_group_triplet_proportion,38931,38931,0.05,55
WSM_group_to_MSM_group_proportion,38931,38931,0.05,55
WSM_group_to_MSM_group_triplet_proportion,38931,38931,0.05,55
average_time_in_MSM_network,7604,97765,0.05,55
average_time_in_WSM_network,4647,94297,0.05,55
average_time_in_network_overall,12251,192062,0.05,55
total_between_network_proportion,38931,38931,0.05,55
total_triplet_proportion,38931,38931,0.05,55
MSM_group_to_WSM_group_proportion,39446,39446,0.05,64
MSM_group_to_WSM_group_triplet_proportion,39446,39446,0.05,64
WSM_group_to_MSM_group_proportion,39446,39446,0.05,64
WSM_group_to_MSM_group_triplet_proportion,39446,39446,0.05,64
average_time_in_MSM_network,2089,52747,0.05,64
average_time_in_WSM_network,976,50843,0.05,64
average_time_in_network_overall,3065,103590,0.05,64
total_between_network_proportion,39446,39446,0.05,64
total_triplet_proportion,39446,39446,0.05,64
MSM_group_to_WSM_group_proportion,41542,41542,0.05,67
MSM_group_to_WSM_group_triplet_proportion,41542,41542,0.05,67
WSM_group_to_MSM_group_proportion,41542,41542,0.05,67
WSM_group_to_MSM_group_triplet_proportion,41542,41542,0.05,67
average_time_in_MSM_network,2884,107342,0.05,67
average_time_in_WSM_network,1756,104965,0.05,67
average_time_in_network_overall,4640,212307,0.05,67
total_between_network_proportion,41542,41542,0.05,67
total_triplet_proportion,41542,41542,0.05,67
MSM_group_to_WSM_group_proportion,43815,43815,0.05,72
MSM_group_to_WSM_group_triplet_proportion,43815,43815,0.05,72
WSM_group_to_MSM_group_proportion,43815,43815,0.05,72
WSM_group_to_MSM_group_triplet_proportion,43815,43815,0.05,72
average_time_in_MSM_network,6556,88399,0.05,72
average_time_in_WSM_network,6828,88422,0.05,72
average_time_in_network_overall,13384,176821,0.05,72
total_between_network_proportion,43815,43815,0.05,72
total_triplet_proportion,43815,43815,0.05,72
MSM_group_to_WSM_group_proportion,48740,48740,0.05,73
MSM_group_to_WSM_group_triplet_proportion,48740,48740,0.05,73
WSM_group_to_MSM_group_proportion,48740,48740,0.05,73
WSM_group_to_MSM_group_triplet_proportion,48740,48740,0.05,73
average_time_in_MSM_network,13245,145069,0.05,73
average_time_in_WSM_network,7758,139249,0.05,73
average_time_in_network_overall,21003,284318,0.05,73
total_between_network_proportion,48740,48740,0.05,73
total_triplet_proportion,48740,48740,0.05,73
MSM_group_to_WSM_group_proportion,41573,41573,0.05,75
MSM_group_to_WSM_group_triplet_proportion,41573,41573,0.05,75
WSM_group_to_MSM_group_proportion,41573,41573,0.05,75
WSM_group_to_MSM_group_triplet_proportion,41573,41573,0.05,75
average_time_in_MSM_network,8371,64501,0.05,75
average_time_in_WSM_network,14199,69046,0.05,75
average_time_in_network_overall,22570,133547,0.05,75
total_between_network_proportion,41573,41573,0.05,75
total_triplet_proportion,41573,41573,0.05,75
MSM_group_to_WSM_group_proportion,45193,45193,0.05,77
MSM_group_to_WSM_group_triplet_proportion,45193,45193,0.05,77
WSM_group_to_MSM_group_proportion,45193,45193,0.05,77
WSM_group_to_MSM_group_triplet_proportion,45193,45193,0.05,77
average_time_in_MSM_network,2716,97701,0.05,77
average_time_in_WSM_network,1064,95793,0.05,77
average_time_in_network_overall,3780,193494,0.05,77
total_between_network_proportion,45193,45193,0.05,77
total_triplet_proportion,45193,45193,0.05,77
MSM_group_to_WSM_group_proportion,45302,45302,0.05,86
MSM_group_to_WSM_group_triplet_proportion,45302,45302,0.05,86
WSM_group_to_MSM_group_proportion,45302,45302,0.05,86
WSM_group_to_MSM_group_triplet_proportion,45302,45302,0.05,86
average_time_in_MSM_network,20400,137593,0.05,86
average_time_in_WSM_network,3967,120500,0.05,86
average_time_in_network_overall,24367,258093,0.05,86
total_between_network_proportion,45302,45302,0.05,86
total_triplet_proportion,45302,45302,0.05,86
MSM_group_to_WSM_group_proportion,46856,46856,0.05,87
MSM_group_to_WSM_group_triplet_proportion,46856,46856,0.05,87
WSM_group_to_MSM_group_proportion,46856,46856,0.05,87
WSM_group_to_MSM_group_triplet_proportion,46856,46856,0.05,87
average_time_in_MSM_network,1815,51394,0.05,87
average_time_in_WSM_network,1168,49919,0.05,87
average_time_in_network_overall,2983,101313,0.05,87
total_between_network_proportion,46856,46856,0.05,87
total_triplet_proportion,46856,46856,0.05,87
MSM_group_to_WSM_group_proportion,41215,41215,0.05,95
MSM_group_to_WSM_group_triplet_proportion,41215,41215,0.05,95
WSM_group_to_MSM_group_proportion,41215,41215,0.05,95
WSM_group_to_MSM_group_triplet_proportion,41215,41215,0.05,95
average_time_in_MSM_network,6123,91439,0.05,95
average_time_in_WSM_network,4208,88991,0.05,95
average_time_in_network_overall,10331,180430,0.05,95
total_between_network_proportion,41215,41215,0.05,95
total_triplet_proportion,41215,41215,0.05,95
MSM_group_to_WSM_group_proportion,48037,48037,0.05,100
MSM_group_to_WSM_group_triplet_proportion,48037,48037,0.05,100
WSM_group_to_MSM_group_proportion,48037,48037,0.05,100
WSM_group_to_MSM_group_triplet_proportion,48037,48037,0.05,100
average_time_in_MSM_network,5268,91656,0.05,100
average_time_in_WSM_network,5283,91263,0.05,100
average_time_in_network_overall,10551,182919,0.05,100
total_between_network_proportion,48037,48037,0.05,100
total_triplet_proportion,48037,48037,0.05,100
MSM_group_to_WSM_group_proportion,47569,47569,0.05,102
MSM_group_to_WSM_group_triplet_proportion,47569,47569,0.05,102
WSM_group_to_MSM_group_proportion,47569,47569,0.05,102
WSM_group_to_MSM_group_triplet_proportion,47569,47569,0.05,102
average_time_in_MSM_network,11522,144259,0.05,102
average_time_in_WSM_network,9782,141910,0.05,102
average_time_in_network_overall,21304,286169,0.05,102
total_between_network_proportion,47569,47569,0.05,102
total_triplet_proportion,47569,47569,0.05,102
MSM_group_to_WSM_group_proportion,44957,44957,0.05,104
MSM_group_to_WSM_group_triplet_proportion,44957,44957,0.05,104
WSM_group_to_MSM_group_proportion,44957,44957,0.05,104
WSM_group_to_MSM_group_triplet_proportion,44957,44957,0.05,104
average_time_in_MSM_network,7785,63442,0.05,104
average_time_in_WSM_network,6891,61758,0.05,104
average_time_in_network_overall,14676,125200,0.05,104
total_between_network_proportion,44957,44957,0.05,104
total_triplet_proportion,44957,44957,0.05,104
MSM_group_to_WSM_group_proportion,42246,42246,0.05,113
MSM_group_to_WSM_group_triplet_proportion,42246,42246,0.05,113
WSM_group_to_MSM_group_proportion,42246,42246,0.05,113
WSM_group_to_MSM_group_triplet_proportion,42246,42246,0.05,113
average_time_in_MSM_network,6045,102661,0.05,113
average_time_in_WSM_network,3646,99865,0.05,113
average_time_in_network_overall,9691,202526,0.05,113
total_between_network_proportion,42246,42246,0.05,113
total_triplet_proportion,42246,42246,0.05,113
MSM_group_to_WSM_group_proportion,42990,42990,0.05,116
MSM_group_to_WSM_group_triplet_proportion,42990,42990,0.05,116
WSM_group_to_MSM_group_proportion,42990,42990,0.05,116
WSM_group_to_MSM_group_triplet_proportion,42990,42990,0.05,116
average_time_in_MSM_network,25469,94319,0.05,116
average_time_in_WSM_network,16231,85531,0.05,116
average_time_in_network_overall,41700,179850,0.05,116
total_between_network_proportion,42990,42990,0.05,116
total_triplet_proportion,42990,42990,0.05,116
MSM_group_to_WSM_group_proportion,46620,46620,0.05,117
MSM_group_to_WSM_group_triplet_proportion,46620,46620,0.05,117
WSM_group_to_MSM_group_proportion,46620,46620,0.05,117
WSM_group_to_MSM_group_triplet_proportion,46620,46620,0.05,117
average_time_in_MSM_network,6527,141435,0.05,117
average_time_in_WSM_network,3374,138040,0.05,117
average_time_in_network_overall,9901,279475,0.05,117
total_between_network_proportion,46620,46620,0.05,117
total_triplet_proportion,46620,46620,0.05,117
MSM_group_to_WSM_group_proportion,45819,45819,0.05,118
MSM_group_to_WSM_group_triplet_proportion,45819,45819,0.05,118
WSM_group_to_MSM_group_proportion,45819,45819,0.05,118
WSM_group_to_MSM_group_triplet_proportion,45819,45819,0.05,118
average_time_in_MSM_network,5663,120049,0.05,118
average_time_in_WSM_network,913,115070,0.05,118
average_time_in_network_overall,6576,235119,0.05,118
total_between_network_proportion,45819,45819,0.05,118
total_triplet_proportion,45819,45819,0.05,118
MSM_group_to_WSM_group_proportion,41575,41575,0.05,120
MSM_group_to_WSM_group_triplet_proportion,41575,41575,0.05,120
WSM_group_to_MSM_group_proportion,41575,41575,0.05,120
WSM_group_to_MSM_group_triplet_proportion,41575,41575,0.05,120
average_time_in_MSM_network,1414,23211,0.05,120
average_time_in_WSM_network,1670,27103,0.05,120
average_time_in_network_overall,3084,50314,0.05,120
total_between_network_proportion,41575,41575,0.05,120
total_triplet_proportion,41575,41575,0.05,120
MSM_group_to_WSM_group_proportion,47462,47462,0.05,121
MSM_group_to_WSM_group_triplet_proportion,47462,47462,0.05,121
WSM_group_to_MSM_group_proportion,47462,47462,0.05,121
WSM_group_to_MSM_group_triplet_proportion,47462,47462,0.05,121
average_time_in_MSM_network,3929,51831,0.05,121
average_time_in_WSM_network,3794,51820,0.05,121
average_time_in_network_overall,7723,103651,0.05,121
total_between_network_proportion,47462,47462,0.05,121
total_triplet_proportion,47462,47462,0.05,121
MSM_group_to_WSM_group_proportion,45299,45299,0.05,124
MSM_group_to_WSM_group_triplet_proportion,45299,45299,0.05,124
WSM_group_to_MSM_group_proportion,45299,45299,0.05,124
WSM_group_to_MSM_group_triplet_proportion,45299,45299,0.05,124
average_time_in_MSM_network,1454,67670,0.05,124
average_time_in_WSM_network,3318,68537,0.05,124
average_time_in_network_overall,4772,136207,0.05,124
total_between_network_proportion,45299,45299,0.05,124
total_triplet_proportion,45299,45299,0.05,124
MSM_group_to_WSM_group_proportion,48722,48722,0.05,126
MSM_group_to_WSM_group_triplet_proportion,48722,48722,0.05,126
WSM_group_to_MSM_group_proportion,48722,48722,0.05,126
WSM_group_to_MSM_group_triplet_proportion,48722,48722,0.05,126
average_time_in_MSM_network,3267,56561,0.05,126
average_time_in_WSM_network,244,59091,0.05,126
average_time_in_network_overall,3511,115652,0.05,126
total_between_network_proportion,48722,48722,0.05,126
total_triplet_proportion,48722,48722,0.05,126
MSM_group_to_WSM_group_proportion,43919,43919,0.05,127
MSM_group_to_WSM_group_triplet_proportion,43919,43919,0.05,127
WSM_group_to_MSM_group_proportion,43919,43919,0.05,127
WSM_group_to_MSM_group_triplet_proportion,43919,43919,0.05,127
average_time_in_MSM_network,5940,129454,0.05,127
average_time_in_WSM_network,4930,132337,0.05,127
average_time_in_network_overall,10870,261791,0.05,127
total_between_network_proportion,43919,43919,0.05,127
total_triplet_proportion,43919,43919,0.05,127
MSM_group_to_WSM_group_proportion,44040,44040,0.05,130
MSM_group_to_WSM_group_triplet_proportion,44040,44040,0.05,130
WSM_group_to_MSM_group_proportion,44040,44040,0.05,130
WSM_group_to_MSM_group_triplet_proportion,44040,44040,0.05,130
average_time_in_MSM_network,15667,77074,0.05,130
average_time_in_WSM_network,18433,79018,0.05,130
average_time_in_network_overall,34100,156092,0.05,130
total_between_network_proportion,44040,44040,0.05,130
total_triplet_proportion,44040,44040,0.05,130
MSM_group_to_WSM_group_proportion,46568,46568,0.05,134
MSM_group_to_WSM_group_triplet_proportion,46568,46568,0.05,134
WSM_group_to_MSM_group_proportion,46568,46568,0.05,134
WSM_group_to_MSM_group_triplet_proportion,46568,46568,0.05,134
average_time_in_MSM_network,19276,104146,0.05,134
average_time_in_WSM_network,11956,98832,0.05,134
average_time_in_network_overall,31232,202978,0.05,134
total_between_network_proportion,46568,46568,0.05,134
total_triplet_proportion,46568,46568,0.05,134
MSM_group_to_WSM_group_proportion,44259,44259,0.05,137
MSM_group_to_WSM_group_triplet_proportion,44259,44259,0.05,137
WSM_group_to_MSM_group_proportion,44259,44259,0.05,137
